DateTime,Entries,UniqueIPs
1530678612,618,618
1530765009,625,625
1530851409,630,630
1531110607,625,625
1531197008,630,630
1531283408,640,640
1531369808,653,653
1531456207,669,669
1531715407,661,661
1531801808,663,663
1531888207,656,656
1531974608,640,640
1532061008,627,627
1532320207,638,638
1532406608,657,657
1532493006,650,650
1532579407,641,641
1532665807,624,624
1532925007,625,625
1533011409,639,639
1533097808,649,649
1533184208,659,659
1533270608,659,659
1533529808,678,678
1533616208,675,675
1533702607,681,681
1533789008,687,687
1533875408,699,699
1534134608,718,718
1534221008,723,723
1534307407,728,728
1534451126,716,716
1534480208,721,721
1534739408,724,724
1534825808,720,720
1534912209,720,720
1534998608,719,719
1535085008,726,726
1535344209,760,760
1535430608,754,754
1535517009,742,742
1535603409,727,727
1535689808,722,722
1535949007,671,671
1536035408,677,677
1536121808,674,674
1536208207,677,677
1536353751,664,664
1536553807,672,672
1536640209,651,651
1536726607,651,651
1536813009,647,647
1536899408,642,642
1537158608,658,658
1537245008,663,663
1537331410,648,648
1537417809,638,638
1537504207,624,624
1537763407,606,606
1537849818,615,615
1537936208,623,623
1538022607,645,645
1538109008,662,662
1538368209,723,723
1538454608,731,731
1538541007,726,726
1538627410,745,745
1538713808,768,768
1538973009,822,822
1539059409,825,825
1539145809,832,832
1539232209,844,844
1539318609,844,844
1539577809,829,829
1539664210,822,822
1539750609,819,819
1539837009,815,815
1539923409,827,827
1540182610,865,865
1540319161,878,878
1540355409,853,853
1540441809,845,845
1540528209,830,830
1540787408,799,799
1540873810,776,776
1540960209,774,774
1541046609,759,759
1541133010,753,753
1541395808,673,673
1541482208,648,648
1541568607,645,645
1541655004,642,642
1541741405,620,620
1542000604,582,582
1542087004,584,584
1542173404,581,581
1542259804,570,570
1542346204,562,562
1542605404,523,523
1542691803,507,507
1542778203,493,493
1542864603,485,485
1542951002,478,478
1543210203,459,459
1543296602,454,454
1543383002,447,447
1543469402,449,449
1543555802,451,451
1543815002,439,439
1543901402,429,429
1543987802,428,428
1544074202,426,426
1544160602,432,432
1544419801,470,470
1544506202,520,520
1544592602,626,626
1544679003,722,722
1544765402,844,844
1545024603,1183,1183
1545111004,1286,1286
1545197403,1412,1412
1545283805,1500,1500
1545370204,1634,1634
1545802206,2425,2425
1545888606,2510,2510
1545975006,2615,2615
1546234207,2989,2989
1546407009,3221,3221
1546493409,3346,3346
1546579807,3384,3384
1546839007,3456,3456
1546925409,3488,3488
1547011808,3470,3470
1547098207,3399,3399
1547184607,3282,3282
1547443807,3119,3119
1547530207,3075,3075
1547616605,3018,3018
1547703005,2954,2954
1547789404,2875,2875
1548048603,2613,2613
1548135003,2473,2473
1548221402,2237,2237
1548307800,2081,2081
1548394199,1929,1929
1548653398,1513,1513
1548739798,1308,1308
1548826197,1143,1143
1548912596,961,961
1548998995,799,799
1549258194,648,648
1549344594,636,636
1549430994,613,613
1549603793,606,606
1549862991,576,576
1549949391,578,578
1550035791,574,574
1550122190,579,579
1550208591,593,593
1550467792,609,609
1550554192,610,610
1550640592,613,613
1550726992,624,624
1550813392,616,616
1551072591,617,617
1551158992,619,619
1551245391,627,627
1551331791,630,630
1551418192,624,624
1551677392,647,647
1551763793,653,653
1551850192,649,649
1551936592,653,653
1552022992,647,647
1552278592,671,671
1552364993,690,690
1552451393,709,709
1552537793,713,713
1552624193,703,703
1552883393,690,690
1552969793,690,690
1553056193,808,808
1553142594,926,926
1553228995,994,994
1553488195,1033,1033
1553574595,1031,1031
