DateTime,AddedIPs,RemovedIPs
1530851409,392,443
1531110608,573,604
1531197007,392,374
1531283410,373,457
1531369808,449,347
1531456206,356,463
1531715408,547,560
1531801809,455,354
1531888208,378,468
1531974607,419,343
1532061008,405,375
1532320207,473,635
1532406607,430,355
1532493006,315,447
1532579409,409,328
1532665808,366,443
1532925006,592,557
1533011407,370,455
1533097808,547,368
1533184207,429,387
1533270606,403,410
1533529807,609,617
1533616209,348,420
1533702607,425,357
1533789008,335,421
1533875408,379,386
1534134607,559,539
1534221007,390,381
1534307408,419,435
1534393809,415,415
1534480208,367,457
1534739408,534,498
1534825808,431,344
1534912210,473,413
1534998608,344,459
1535085009,371,431
1535344211,535,540
1535430609,468,427
1535569358,724,563
1535603406,329,480
1535689815,424,412
1535949010,728,654
1536035412,478,437
1536121814,456,510
1536208217,378,450
1536294614,421,410
1536553809,525,532
1536640216,487,366
1536726609,413,519
1536813024,413,420
1536899411,437,408
1537158609,709,557
1537245010,350,553
1537331424,411,439
1537417843,538,346
1537504214,332,506
1537763409,572,608
1537849810,407,390
1537936226,439,352
1538022613,444,415
1538109023,382,512
1538368208,672,616
1538454612,417,413
1538541094,419,411
1538627408,420,407
1538713807,396,410
1538973016,645,548
1539059421,408,462
1539145820,395,479
1539232220,475,405
1539318662,360,475
1539577815,703,548
1539664210,403,494
1539750609,521,303
1539837012,431,517
1539923421,385,534
1540182613,691,571
1540319165,729,623
1540355410,333,574
1540441811,462,355
1540528209,399,486
1540787409,539,592
1540873809,424,423
1540960209,432,441
1541046609,623,391
1541133015,466,520
1541395814,614,668
1541482213,413,415
1541568606,407,395
1541655005,444,487
1541741414,382,379
1542000608,519,540
1542087008,382,431
1542173407,431,378
1542259807,412,415
1542346207,436,413
1542605408,567,616
1542691807,376,416
1542778207,381,389
1542864608,410,446
1542951008,396,402
1543210209,578,536
1543296612,415,399
1543383009,415,442
1543469409,375,384
1543555819,455,372
1543815009,677,571
1543901408,378,487
1543987808,467,346
1544074208,394,513
1544160605,459,384
1544419810,554,615
1544506211,428,416
1544592606,516,421
1544679009,424,438
1544765407,381,429
1545024606,679,588
1545111004,394,522
1545197406,399,392
1545283904,464,315
1545370203,379,512
1545802203,635,695
1545888606,393,374
1545975002,433,353
1546234202,395,756
1546407002,526,368
1546493404,392,269
1546579804,339,396
1546839000,462,444
1546925402,369,319
1547011806,334,346
1547098203,307,301
1547184602,298,386
1547443801,807,452
1547530202,442,411
1547616603,380,545
1547703000,389,441
1547789399,501,335
1548048605,635,661
1548134998,494,505
1548221398,382,500
1548307799,402,386
1548394199,424,292
1548653398,648,665
1548739798,397,502
1548826198,394,422
1548912599,426,438
1548998996,553,433
1549258197,657,617
1549344597,544,444
1549430997,417,404
1549603796,507,632
1549862994,542,626
1549949395,432,408
1550035796,463,387
1550122196,426,471
1550208593,419,430
1550467796,543,684
1550554197,373,390
1550640596,455,342
1550726996,432,422
1550813396,460,416
1551072598,649,629
1551158995,411,593
1551245396,430,405
1551331793,483,374
1551418195,576,479
1551677394,669,630
1551763797,417,430
1551850195,431,414
1551936597,394,484
1552022999,407,402
1552278596,537,538
1552364999,481,382
1552451394,414,424
1552537797,451,463
