DateTime,AddedIPs,RemovedIPs
1592617923,74,30
1592618521,4,0
1592619721,3,0
1592620381,6,0
1592620921,1,0
1592622010,39,45
1592622121,3,0
1592623321,1,0
1592623923,51,56
1592624521,4,0
1592626082,45,36
1592626921,6,0
1592628121,2,0
1592629322,9,1
1592629921,119,116
1592630161,1,0
1592630522,8,0
1592631842,133,134
1592632922,2,0
1592634134,3,0
1592634722,1,0
1592635682,15,17
1592636522,2,0
1592638922,9,0
1592639522,23,17
1592640122,1,0
1592640504,1,0
1592641321,5,0
1592642521,12,0
1592643121,1,0
1592643362,20,11
1592643721,8,1
1592644921,4,0
1592645281,22,37
1592645521,0,1
1592646121,1,0
1592646722,2,0
1592647202,41,26
1592647921,1,0
1592648521,1,0
1592649721,7,0
1592650321,1,0
1592651042,22,18
1592651522,7,0
1592652121,8,0
1592652962,8,21
1592653322,2,0
1592653921,9,0
1592654521,1,0
1592655122,13,22
1592655721,3,0
1592656322,6,0
1592657042,27,13
1592657521,4,0
1592658121,1,0
1592658962,13,22
1592659321,4,0
1592659981,5,0
1592660882,20,18
1592661721,1,0
1592662921,1,0
1592664121,12,0
1592664721,14,16
1592665322,26,0
1592665921,3,0
1592666521,21,0
1592667181,4,0
1592667721,2,0
1592668321,3,0
1592668921,4,0
1592670122,11,0
1592670722,29,28
1592671321,2,0
1592671921,2,0
1592672641,11,14
1592673121,3,0
1592674322,1,0
1592674382,3,0
1592674922,1,0
1592675521,1,0
1592676122,6,0
1592676633,1,0
1592677321,4,0
1592677922,12,0
1592678641,12,21
1592679121,1,0
1592680562,14,15
1592680922,2,0
1592681521,14,0
1592682121,0,1
1592682721,3,2
1592683921,3,0
1592685121,9,0
1592685722,2,0
1592686322,25,22
1592686921,0,1
1592688121,5,0
1592688721,2,1
1592690162,19,17
1592690522,3,1
1592691721,6,0
1592692921,9,0
1592694004,16,19
1592694121,4,0
1592695322,3,0
1592695922,1,1880
1592696521,19,0
1592697121,4,0
1592698082,1917,2
1592698922,2,0
1592700003,22,15
1592700121,4,0
1592701321,2,0
1592702521,6,0
1592703843,35,31
1592704921,29,0
1592706121,3,0
1592706326,2,0
1592706781,1,0
1592707321,2,0
1592707682,51,44
1592707921,3,1
1592708553,4,0
1592709121,2,0
1592709722,16,0
1592710921,6,1
1592711521,2,0
1592712483,49,46
1592713321,3,0
1592714402,35,32
1592714521,4,1
1592716921,2,0
1592717581,14,0
1592718121,1,0
1592718721,3,0
1592720162,31,28
1592720521,5,0
1592721121,2,0
1592721721,8,0
1592722082,19,19
1592722922,1,0
1592724121,2,0
1592725321,2,0
1592725922,19,15
1592726521,3,0
1592727721,7,0
1592728299,2,0
1592729031,14,0
1592729521,2,1
1592729762,22,11
1592730122,8,0
1592730721,5,1
1592731321,15,0
1592731981,2,0
1592732521,1,0
1592733121,5,0
1592733604,20,12
1592734922,3,0
1592735523,19,17
1592736121,2,0
1592737683,29,17
1592737921,8,0
1592738521,10,1
1592739063,4,0
1592739722,4,1
1592740321,4,0
1592741522,2,0
1592742721,2,0
1592743443,15,28
1592743921,6,0
1592744521,1,0
1592745122,7,0
1592745722,5,0
1592746921,9,0
1592747283,19,18
1592748121,3,0
1592749321,5,1
1592750521,7,0
1592751122,12,14
1592751721,2,0
1592753033,2,0
1592753521,9,0
1592754121,8,0
1592754964,13,11
1592755321,1,0
