DateTime,AddedIPs,RemovedIPs
1592555581,1,0
1592556122,4,0
1592556721,3,0
1592557321,14,0
1592557921,6,0
1592558521,9,0
1592559181,1,0
1592559722,3,0
1592560321,0,1
1592560922,1,2
1592561521,2,0
1592562122,1,0
1592563321,11,0
1592563921,4,0
1592564521,5,0
1592565121,7,0
1592566321,13,0
1592566921,1,0
1592568121,1,0
1592568721,1,0
1592569321,3,0
1592569982,2,0
1592570521,2,0
1592571122,3,0
1592571722,5,0
1592572322,5,0
1592572921,4,0
1592574121,12,0
1592574721,3,0
1592575321,1,0
1592575922,6,0
1592577721,8,0
1592578321,5,0
1592578922,4,0
1592580782,2,0
1592581321,5,0
1592583122,1,0
1592583721,7,0
1592584321,6,2
1592584921,4,1
1592586121,1,0
1592587322,1,0
1592587921,3,0
1592588521,4,0
1592589121,6,0
1592589722,5,0
1592590321,9,0
1592590921,2,0
1592591581,1,0
1592592122,5,0
1592593322,3,0
1592594521,4,0
1592596321,5,0
1592597521,5,0
1592598122,3,0
1592598721,8,0
1592598782,1,0
1592599322,9,0
1592600521,3,1
1592601721,4,0
1592602922,12,0
1592603521,6,0
1592604121,3,0
1592604722,3,0
1592605321,3,0
1592605981,1,0
1592606521,2,0
1592607722,4,0
1592608321,3,1
1592610121,3,0
1592610721,5,0
1592611322,2,0
1592612521,10,0
1592613181,1,0
1592613721,3,0
1592614321,3,0
1592614922,3,0
1592616122,4,0
1592616721,3,0
1592617321,13,0
1592617921,8,0
1592618521,4,0
1592619721,3,0
1592620381,6,0
1592620921,1,0
1592622121,3,0
1592623321,1,0
1592624521,4,0
1592625721,2,1
1592626921,6,0
1592628121,2,0
1592629322,9,1
1592630522,8,0
1592631721,1,0
1592632922,2,0
1592634121,3,0
1592634722,1,0
1592636522,2,0
1592638922,9,0
1592640122,1,0
1592641321,5,0
1592642521,12,0
1592643121,1,0
1592643721,8,1
1592644921,4,0
1592645521,0,1
1592646121,1,0
1592646722,2,0
1592647921,1,0
1592648521,1,0
1592649721,7,0
1592650321,1,0
1592650921,11,0
1592651522,7,0
1592652121,8,0
1592653322,2,0
1592653921,9,0
1592654521,1,0
1592655721,3,0
1592656322,6,0
1592656921,5,0
1592657521,4,0
1592658121,1,0
1592659321,4,0
1592659981,5,0
1592660521,1,0
1592661721,1,0
1592662921,1,0
1592664121,12,0
1592665322,26,0
1592665921,3,0
1592666521,21,0
1592667181,4,0
1592667721,2,0
1592668321,3,0
1592668921,4,0
1592670122,11,0
1592671321,2,0
1592671921,2,0
1592673121,3,0
1592674322,1,0
1592674382,3,0
1592674922,1,0
1592675521,1,0
1592676122,6,0
1592677321,4,0
1592677922,12,0
1592678522,0,1
1592679121,1,0
1592680922,2,0
1592681521,14,0
1592682121,0,1
1592682721,3,2
1592683921,3,0
1592685121,9,0
1592685722,2,0
1592686921,0,1
1592688121,5,0
1592688721,2,1
1592690522,3,1
1592691721,6,0
1592692921,9,0
1592694121,4,0
1592695322,3,0
1592695921,1,0
1592696521,19,0
1592697121,4,0
1592697721,5,0
1592698922,2,0
1592700121,4,0
1592701321,2,0
1592702521,6,0
1592703722,7,0
1592704921,29,0
