DateTime,AddedIPs,RemovedIPs
1577392594,2,7
1577410825,1,0
1577454499,1,0
1577478569,5,2
1577498167,1,0
1577542097,2,0
1577564894,2,1
1577585788,3,0
1577629460,2,0
1577651308,0,3
1577673150,2,0
1577716823,3,0
1577737684,3,1
1577760727,1,0
1577804428,1,0
1577824068,2,0
1577848347,2,0
1577910477,1,5
1577935697,1,0
1577979625,3,0
1578001878,5,4
1578023295,2,0
1578083557,3,2
1578169686,3,1
1578241944,2,0
1578256041,1,4
1578285608,4,0
1578329298,2,0
1578342976,1,1
1578372963,1,0
1578416902,3,0
1578428952,1,3
1578460570,2,0
1578504269,2,0
1578515322,5,2
1578547942,1,0
1578591855,5,0
1578601793,2,3
1578679220,1,0
1578688304,2,2
1578766815,1,0
1578774506,3,4
1578810504,2,0
1578854180,2,0
1578860868,3,1
1578897851,1,0
1578941527,4,0
1578947331,1,2
1579028910,1,0
1579033747,2,3
1579116267,2,0
1579120051,1,4
1579203608,1,0
1579206521,2,1
1579247306,1,0
1579290981,3,0
1579293112,2,0
1579334924,1,0
1579378581,2,0
1579379327,1,1
1579422263,1,0
1579509608,1,1
1579552119,1,1
1579596969,1,0
1579638604,1,1
1579640656,2,0
1579684335,1,0
1579724866,2,2
1579728018,2,2
1579771688,2,0
1579811404,2,1
1579815375,4,0
1579859075,2,0
1579897912,0,2
1579902732,2,0
1579946434,2,0
1579984217,3,4
1579990102,3,0
1580033769,1,0
1580070491,4,3
1580077447,3,0
1580121148,14,0
1580156982,1,2
1580164827,1,0
1580208501,3,0
1580243272,2,1
1580252178,2,0
1580296107,1,0
1580329769,2,1
1580339770,7,0
1580383457,2,0
1580416058,1,2
1580427141,6,0
1580502688,2,1
1580514491,4,0
1580558166,5,0
1580588864,2,0
1580602098,3,0
1580645780,1,0
1580675304,0,1
1580689446,6,0
1580733130,2,0
1580761730,1,2
1580820504,2,0
1580848124,1,2
1580864166,1,0
1580934495,2,1
1580951768,1,0
1581020899,2,2
1581039131,3,0
1581107322,1,3
1581126503,3,0
1581170177,3,0
1581193648,1,2
1581213855,2,0
1581280040,2,0
1581301213,3,0
1581345137,1,0
1581366482,2,0
1581388808,5,0
1581432489,3,0
1581452932,1,1
1581476178,2,0
1581520104,3,0
1581539233,1,1
1581563778,4,0
1581607450,1,0
1581625640,1,0
1581712307,0,2
1581738501,5,0
1581782169,2,0
1581798506,2,0
1581826119,7,0
1581884848,0,3
1581913449,2,0
1581957134,1,0
1581971284,2,3
1582000811,2,0
1582044505,6,0
1582057679,4,2
1582088168,3,0
1582131851,3,0
1582144145,1,2
1582175533,4,0
1582230696,4,2
1582262898,2,0
1582306580,3,2
1582316928,1,2
1582350247,3,0
1582393925,2,0
1582403244,1,0
1582481304,1,0
1582489655,0,3
1582524973,1,0
1582576612,3,0
1582612337,1,0
1582656008,1,0
1582662584,0,3
1582699696,5,0
1582749195,2,3
1582830970,3,0
1582835413,3,3
1582874652,1,0
1582918343,3,0
1582921778,4,3
1582962011,2,0
1583005695,6,0
1583008038,2,3
1583049377,8,0
1583093051,2,0
1583094439,3,1
1583136750,2,0
1583180438,2,0
1583180888,1,1
1583224087,3,0
1583267780,3,0
1583268094,2,2
1583311447,1,0
1583353707,1,1
1583355125,6,0
1583398816,2,0
1583440092,1,2
1583442501,4,0
1583486168,1,0
1583526961,1,3
1583529853,1,0
1583573529,3,0
1583612994,2,1
1583617234,4,0
1583660891,2,0
1583702480,1,0
1583704566,1,0
1583748523,2,0
1583782152,1,0
1583792194,5,0
1583868517,1,3
