DateTime,Entries,UniqueIPs
1577392594,2710,2870
1577410825,2711,2871
1577454499,2712,2872
1577478569,2715,2875
1577498167,2716,2876
1577542097,2718,2878
1577564894,2719,2879
1577585788,2722,2882
1577629460,2724,2884
1577651308,2721,2881
1577673150,2723,2883
1577716823,2726,2886
1577737684,2728,2888
1577760727,2729,2889
1577804428,2730,2890
1577824068,2732,2892
1577848347,2734,2894
1577910477,2730,2890
1577935697,2731,2891
1577979625,2734,2894
1578001878,2735,2895
1578023295,2737,2897
1578083557,2738,2898
1578169686,2740,2900
1578241944,2742,2902
1578256041,2739,2899
1578285608,2743,2903
1578329298,2745,2905
1578342976,2745,2905
1578372963,2746,2906
1578416902,2749,2909
1578428952,2747,2907
1578460570,2749,2909
1578504269,2751,2911
1578515322,2754,2914
1578547942,2755,2915
1578591855,2760,2920
1578601793,2759,2919
1578679220,2760,2920
1578688304,2760,2920
1578766815,2761,2921
1578774506,2760,2920
1578810504,2762,2922
1578854180,2764,2924
1578860868,2766,2926
1578897851,2767,2927
1578941527,2771,2931
1578947331,2770,2930
1579028910,2771,2931
1579033747,2770,2930
1579116267,2772,2932
1579120051,2769,2929
1579203608,2770,2930
1579206521,2771,2931
1579247306,2772,2932
1579290981,2775,2935
1579293112,2777,2937
1579334924,2778,2938
1579378581,2780,2940
1579379327,2780,2940
1579422263,2781,2941
1579509608,2781,2941
1579552119,2781,2941
1579596969,2782,2942
1579638604,2782,2942
1579640656,2784,2944
1579684335,2785,2945
1579724866,2785,2945
1579728018,2785,2945
1579771688,2787,2947
1579811404,2788,2948
1579815375,2792,2952
1579859075,2794,2954
1579897912,2792,2952
1579902732,2794,2954
1579946434,2796,2956
1579984217,2796,2955
1579990102,2799,2958
1580033769,2800,2959
1580070491,2800,2960
1580077447,2803,2963
1580121148,2817,2977
1580156982,2816,2976
1580164827,2817,2977
1580208501,2820,2980
1580243272,2821,2981
1580252178,2823,2983
1580296107,2824,2984
1580329769,2825,2985
1580339770,2832,2992
1580383457,2834,2994
1580416058,2833,2993
1580427141,2839,2999
1580502688,2840,3000
1580514491,2844,3004
1580558166,2849,3009
1580588864,2851,3011
1580602098,2854,3014
1580645780,2855,3015
1580675304,2854,3014
1580689446,2860,3020
1580733130,2862,3022
1580761730,2861,3021
1580820504,2863,3023
1580848124,2862,3022
1580864166,2863,3023
1580934495,2864,3024
1580951768,2865,3025
1581020899,2865,3025
1581039131,2868,3028
1581107322,2866,3026
1581126503,2869,3029
1581170177,2872,3032
1581193648,2871,3031
1581213855,2873,3033
1581280040,2875,3035
1581301213,2878,3038
1581345137,2879,3039
1581366482,2881,3041
1581388808,2886,3046
1581432489,2889,3049
1581452932,2889,3049
1581476178,2891,3051
1581520104,2894,3054
1581539233,2894,3054
1581563778,2898,3058
1581607450,2899,3059
1581625640,2900,3060
1581712307,2898,3058
1581738501,2903,3063
1581782169,2905,3065
1581798506,2907,3067
1581826119,2914,3074
1581884848,2911,3071
1581913449,2913,3073
1581957134,2914,3074
1581971284,2913,3073
1582000811,2915,3075
1582044505,2921,3081
1582057679,2923,3083
1582088168,2926,3086
1582131851,2929,3089
1582144145,2928,3088
1582175533,2932,3092
1582230696,2934,3094
1582262898,2936,3096
1582306580,2937,3097
1582316928,2936,3096
1582350247,2939,3099
1582393925,2941,3101
1582403244,2942,3102
1582481304,2943,3103
1582489655,2940,3100
1582524973,2941,3101
1582576612,2944,3104
1582612337,2945,3105
1582656008,2946,3106
1582662584,2943,3103
1582699696,2948,3108
1582749195,2947,3107
1582830970,2950,3110
1582835413,2950,3110
1582874652,2951,3111
1582918343,2954,3114
1582921778,2955,3115
1582962011,2957,3117
1583005695,2963,3123
1583008038,2962,3122
1583049377,2970,3130
1583093051,2972,3132
1583094439,2974,3134
1583136750,2976,3136
1583180438,2978,3138
1583180888,2978,3138
1583224087,2981,3141
1583267780,2984,3144
1583268094,2984,3144
1583311447,2985,3145
1583353707,2985,3145
1583355125,2991,3151
1583398816,2993,3153
1583440092,2992,3152
1583442501,2996,3156
1583486168,2997,3157
1583526961,2995,3155
1583529853,2996,3156
1583573529,2999,3159
1583612994,3000,3160
1583617234,3004,3164
1583660891,3006,3166
1583702480,3007,3167
1583704566,3008,3168
1583748523,3010,3170
1583782152,3011,3171
1583792194,3016,3176
1583868517,3014,3174
1583879532,3018,3178
1583923209,3020,3180
1583955005,3019,3179
1583966893,3022,3182
1584010574,3028,3188
1584041580,3031,3191
1584054254,3039,3199
1584097934,3044,3204
1584129389,3043,3203
