DateTime,Entries,UniqueIPs
1550689212,5471,34669845
1550775613,5486,34669867
1550862014,5345,34669739
1550948414,5024,34669421
1551034828,4364,34668761
1551117616,4410,34668813
1551121212,3784,34668182
1551207625,3120,34667516
1551294013,2802,34667196
1551380412,2735,34667116
1551466827,2685,34667023
1551553213,2580,34666945
1551639612,2466,34666828
1551726013,2397,34666757
1551812412,2313,34666666
1551898812,2321,34666673
1551985214,2341,34666707
1552158027,2355,34666746
1552244414,2346,34666764
1552247766,2371,34666781
1552330823,2373,34666790
1552417213,2398,34666769
1552503613,2398,34666764
1552535996,2394,34667271
1552590013,2387,34667263
1552676413,2401,34667283
1552762815,2379,34667261
1552849213,2333,34667185
1552935613,2285,34667113
1553022014,2323,34667149
1553108471,2339,34667148
1553194815,2366,34667179
1553281216,2322,34667154
1553367612,2328,34667202
1553454028,2314,34667188
1553540413,2287,34667159
1553552404,2267,34667146
1553626845,2317,34667202
1553713215,2377,34667265
1553799613,2419,34667310
1553886014,2413,34667257
1553972414,2403,34667220
1554058835,2399,34667210
1554145213,2424,34667230
1554231613,2429,34667200
1554318014,2499,34667265
1554404415,2573,34667340
1554490814,2578,34667338
1554577213,2556,34667312
1554663616,2557,34667310
1554750018,2621,34667397
1554836413,2634,34667434
1554922815,2657,34667462
1554930263,2636,34667445
1555009217,2641,34667454
1555095614,2637,34667451
1555182025,2589,34667411
1555268440,2578,34667410
1555354815,2589,34667423
1555441214,2602,34667467
1555527614,2616,34667455
1555614014,2574,34667390
1555700413,2537,34667342
1555786813,2496,34667297
1555873213,2474,34667269
1555959614,2464,34667249
1556046022,2489,34667270
1556132414,2498,34667275
1556218813,2487,34667276
1556235607,2433,34667228
1556305213,2406,34667189
1556393414,2430,34667213
1556481614,2465,34667248
1556569815,2487,34667269
1556658014,2511,34667303
1556746213,2571,34667381
1556834413,2590,34667413
1556922614,2578,34667406
1557010813,2564,34667383
1557099013,2530,34667357
1557185831,3176,34668051
1557273765,4964,34670786
1557361814,6053,34672065
1557450013,6046,34672060
1557525846,6026,34672063
1557538214,6005,34672017
1557626413,5939,34671932
1557714616,5874,34671884
1557802823,5846,34671857
1557891014,5832,34671840
1557979214,5803,34671809
1558067413,5289,34671188
1558155614,3115,34667962
1558243815,2175,34667002
1558332014,2146,34666979
1558420214,2149,34666983
1558508414,2143,34666974
1558596614,2131,34666931
1558684828,2126,34666921
1558773013,2126,34666926
1558833129,2090,34666888
1558861214,2072,34666875
1558949482,2053,34666846
1559037615,2087,34666924
1559125816,2084,34666925
1559214015,2128,34666977
1559302228,2199,34667075
1559390414,2231,34667126
1559478614,2252,34667163
1559565030,2253,34667194
1559651415,2254,34667209
1559737815,2254,34667217
1559824214,2177,34667135
1559910622,2161,34667117
1559997014,2144,34667102
1560083415,2127,34667036
1560169814,2070,34666893
1560212646,2079,34666908
1560256215,2040,34666852
1560342614,2011,34666812
1560376768,1989,34536356
1560429016,1950,34536312
1560515414,1920,34536280
1560601814,1943,34536296
1560688215,1965,34536318
1560774615,1974,34536329
1560861015,1987,34536353
1560947415,1999,34536371
1561033816,2021,34536405
1561120214,2037,34536442
1561206614,2019,34536438
1561293015,2001,34536452
1561379414,1984,34536447
1561465815,1953,34536396
1561517526,1917,34536364
1561552214,1901,34536344
1561638614,1894,34536337
1561725014,1874,34536322
1561811415,1857,34536300
1561897814,1829,34536237
1561984214,1805,34536208
1562070615,1809,34536206
1562157015,1789,34536188
1562243414,1786,34536184
1562329815,1807,34536207
1562416215,1811,34536219
1562502616,1849,34536232
1562589016,1843,34536241
1562675415,1859,34536262
1562761814,1880,34536282
1562809217,1896,34536309
1562848216,1879,34536293
1562934617,1896,34536306
1563021018,1900,34536308
1563107414,1905,34536317
1563193815,1912,34536324
1563280215,1949,34536379
1563366630,1963,34536400
1563453016,2007,34536451
1563539415,2026,34536480
1563625815,2021,34536488
1563712215,2014,34536486
1563778359,2027,34672422
1563798615,2016,34672410
1563885015,2006,34672399
1563971414,2024,34672422
1564057815,2052,34672453
1564114087,2070,34672459
1564138816,2058,34672430
1564225218,2053,34672414
1564311617,2040,34672388
1564398015,2019,34672359
1564484415,2027,34672363
1564570821,2045,34672377
1564657216,2044,34672379
1564743616,2063,34672397
1564830017,2055,34672384
1564916417,2017,34672340
1565002816,2011,34672329
1565089216,2018,34672336
1565175618,2011,34672325
1565262016,2076,34672386
1565348418,2055,34672374
1565434816,2055,34672375
1565493618,2072,34672406
1565521216,2082,34672386
1565607616,2063,34672377
1565694020,2071,34672385
1565780418,2093,34672407
1565866816,2076,34672390
1565953217,2067,34672407
1566039615,2059,34672402
1566126016,2017,34672358
1566212416,2026,34672370
1566298816,2034,34672381
1566385217,2120,34672759
1566471616,2036,34672834
1566558015,2033,34672832
1566644415,2001,34672814
1566730815,1988,34672800
1566739931,1914,34672735
1566817216,1922,34672725
1566903616,1937,34672742
1566990016,1899,34672728
1567076436,1886,34672724
1567162831,1877,34672721
1567249224,2040,34672482
1567335616,2010,34672426
1567422016,1999,34672412
1567508417,2010,34672433
