DateTime,AddedIPs,RemovedIPs
1548341900,4,1
1548516627,7,0
1548603956,5,0
1548691097,5,0
1548778502,4,1
1548866067,2,0
1548953658,9,0
1549040773,4,0
1549127906,6,0
1549215217,6,0
1549302252,9,1
1549389378,3,0
1549476491,4,1
1549563609,4,0
1549737875,5,1
1549824966,10,0
1549912090,3,0
1549999232,6,0
1550086357,9,0
1550173473,3,0
1550260572,10,0
1550347950,8,1
1550435050,2,0
1550522170,30,0
1550609534,11,0
1550696688,13,0
1550783796,1,0
1550870924,7,1
1550958010,19,0
1551045132,1,0
1551132263,33,0
1551220131,2,3
1551307516,11,0
1551394572,3,0
1551481731,37,1
1551568821,5,0
1551655961,3,0
1551743054,2,0
1551830202,6,1
1551917328,3,0
1552004420,8,12
1552091557,12,0
1552178685,6,0
1552352921,48,1
1552440023,87,1
1552527158,164,1
1552614280,453,4
1552701376,250,2
1552788512,251,1
1552875613,117,1
1552962758,126,0
1553049848,93,0
1553136991,194,1
1553224115,1304,0
1553311456,444,0
1553398571,841,0
1553485692,677,0
1553572826,24,0
1553659945,733,0
1553747052,20,0
1553834173,659,0
1553921306,594,0
1554008451,148,0
1554095789,32,1
1554182889,355,0
1554270051,150,0
1554357133,503,0
1554444527,153,3
1554531616,81,1
1554618732,13,0
1554705852,23,0
1554792989,32,0
1554880124,10,0
1554967237,20,0
1555054358,30,1
1555141498,8,0
1555228590,3,0
1555315714,32,1
1555402816,9,0
1555489948,91,0
1555577051,453,0
1555664178,21,0
1555751298,279,1
1555838430,25,3
1555925546,18,4
1556012678,32,2
1556099767,87,2
1556186889,70,0
1556274043,69,1
1556361168,38,5
1556448259,32,2
1556535380,49,0
1556622525,51,2
1556709628,56,0
1556796895,42,0
1556884252,29,0
1556971645,40,52
1557058973,52,0
1557146317,27,12
1557233931,23,0
1557321363,40,2
1557408691,57,0
1557496191,53,0
1557583394,42,6
1557670755,40,0
1557758125,53,3
1557845730,43,1
1557933084,24,4
1558020439,46,2
1558107782,2,3
1558195123,14,4
1558282502,23,3
1558369838,20,5
1558456987,14,0
1558544149,14,4
1558631718,11,1
1558719046,7,3
1558806445,8,1
1558894030,5,0
1558982424,2,1
1559069679,6,0
1559157067,2,0
1559331751,17,13
1559418927,4,6
1559506298,132,1
1559593614,29,4
1559681037,23,3
1559768361,23,1
1559855580,9,3
1559942665,30,4
1560029783,3,0
1560116906,18,2
1560204035,35,3
1560291148,11,0
1560378845,8,5
1560466110,4,1
1560553219,7,0
1560640330,5,0
1560727449,20,5
1560814600,14,0
1560901726,21,3
1560988839,4,0
1561075942,18,4
1561163072,9,1
1561250176,108,5
1561337310,18,0
1561424472,24,2
1561511541,547,11
1561598683,10,0
1561685778,41,3
1561772893,10,4
1561860021,10,0
1561947142,27,2
1562034268,11,3
1562121401,4,11
1562208492,21,1
1562295634,53,1
1562383000,16,1
1562470117,9,1
1562557230,71,5
1562644358,5,0
1562731471,6,23
1562818575,10,2
1562905713,5,1
1562992826,3,2
1563079949,13,0
1563167053,21,1
1563254201,7,1
1563341289,7,4
1563428415,7,1
1563515542,12,4
1563602928,6,0
1563690036,1,4
1563777161,9,1
1563864248,11,4
1563951394,22,0
1564038510,4,0
1564125613,5,6
1564212755,3,1
1564299865,19,3
1564386987,10,2
1564474495,8,2
1564561935,39,1
1564649077,64,1
1564736171,24,1
1564823319,83,3
1564910438,5,3
1564997534,8,6
1565084659,2,5
1565171796,23,2
1565258916,20,6
1565346016,4,2
1565433145,2,1
1565520267,2,11
1565607640,4,1
1565694735,5,26
1565781861,11,3
1565868988,5,3
1565956103,13,2
1566043153,121,2
1566130517,23,3
1566217864,46,7
1566305234,10,5
1566392641,17,2
1566479971,33,3
1566567140,13,28
1566654252,5,4
1566741374,6,4
1566828756,2,4
1566916119,10,5
1567003253,12,1
1567090377,13,2
1567177478,5,2
1567351950,21,3
1567439074,14,6
1567526191,9,6
1567613293,29,7
1567700435,2,0
1567787567,18,8
1567874651,25,0
1567961787,22,2
1568049162,21,3
1568136250,21,4
1568223576,20,4
1568310928,4,27
1568398306,3,2
1568485905,4,0
1568573099,4,1
1568660434,3,7
1568747541,8,0
1568834656,3,4
1568922029,4,1
1569009160,2,0
1569096293,4,3
1569183386,2,2
1569270494,3,4
1569357611,2,1
1569444746,1,2
1569532106,8,3
1569619219,4,1
1569706337,15,3
1569793454,10,4
1569880588,8,3
1569967694,1,5
