DateTime,AddedIPs,RemovedIPs
1592024906,62,39
1592026808,52,43
1592028735,26,32
1592030662,54,53
1592032574,36,63
1592034492,63,51
1592036418,58,46
1592038331,38,65
1592040249,36,55
1592042183,52,66
1592044087,37,2769
1592046008,1186,0
1592047939,56,34
1592049851,57,50
1592051767,86,57
1592053701,76,44
1592055611,86,48
1592057531,63,45
1592059461,69,59
1592061382,49,47
1592063304,71,49
1592065210,72,68
1592067129,63,38
1592069061,46,40
1592070969,55,40
1592072885,30,39
1592074818,59,63
1592076732,53,47
1592078649,61,45
1592080578,96,67
1592082489,49,58
1592084408,51,73
1592086348,75,44
1592088252,72,50
1592090172,1071,0
1592092105,51,45
1592094012,75,38
1592095930,58,40
1592097862,137,49
1592099771,43,35
1592101687,30,46
1592103622,48,50
1592105533,33,29
1592107453,59,53
1592109380,56,44
1592111303,47,45
1592113207,40,30
1592115144,38,44
1592117052,63,30
1592118972,76,57
1592120903,41,36
1592122808,36,66
1592124728,48,51
1592126663,60,71
1592128568,108,49
1592130489,77,2736
1592132421,1236,0
1592134333,92,60
1592136499,128,51
1592138652,106,57
1592140595,85,50
1592142988,82,94
1592144890,43,49
1592146837,52,57
1592148731,36,47
1592150893,139,43
1592152804,157,71
1592154739,69,70
1592156646,39,48
1592158565,49,38
1592160497,33,46
1592162403,106,35
1592164324,146,91
1592166261,68,38
1592168164,44,42
1592170086,54,33
1592172026,127,59
1592173931,112,47
1592176097,1086,0
1592178014,41,48
1592179943,38,38
1592181849,32,42
1592183787,90,41
1592185689,67,60
1592187606,53,47
1592189541,37,53
1592191449,43,34
1592193369,54,50
1592195302,64,46
1592197211,68,61
1592199133,35,47
1592201312,38,33
1592203207,42,40
1592205126,64,37
1592207063,94,59
1592208964,69,59
1592210886,53,31
1592212819,102,39
1592214728,59,51
1592216646,64,2825
1592218580,120,113
1592220487,1349,0
1592222411,113,62
1592224346,65,67
1592226511,99,81
1592228407,89,33
1592230326,67,34
1592232561,79,44
1592234557,99,38
1592236563,75,65
1592238482,74,51
1592240411,82,44
1592242345,44,45
1592244247,46,37
1592246164,65,65
1592248100,68,76
1592250003,114,35
1592252168,95,50
1592254086,53,49
1592256019,64,62
1592257929,72,99
1592259844,71,64
1592261782,108,112
1592263685,1153,0
1592265616,55,47
1592267549,88,56
1592269453,46,61
1592271367,93,33
1592273310,71,24
1592275208,78,27
1592277129,37,34
1592279063,62,39
1592280969,64,52
1592282884,86,39
1592284825,74,41
1592286726,46,28
1592288668,51,37
1592290565,74,90
1592292489,66,41
1592294435,76,46
1592296331,49,24
1592298496,47,54
1592300409,63,79
1592302343,52,3301
1592304247,79,89
1592306165,1364,0
1592308099,72,31
1592310006,57,35
1592311924,86,43
1592313863,66,96
1592315765,72,70
1592317934,82,49
1592319855,54,33
1592321781,66,48
1592323695,69,60
1592325606,71,60
1592327544,111,58
1592329447,73,32
1592331365,71,37
1592333284,48,46
1592335208,61,86
1592337123,60,76
1592339046,47,47
1592340978,55,81
1592342884,51,75
1592344816,68,68
1592346744,64,86
1592348649,1230,0
