DateTime,AddedIPs,RemovedIPs
1549580230,566,1305
1549666710,1305,164
1549753145,164,28288
1549839602,28288,83
1549926062,83,362
1550012523,362,579
1550098988,579,532
1550185449,532,294
1550271903,294,4718
1550358373,4718,890
1550444882,890,376
1550531372,376,639
1550617804,639,601
1550704273,601,82
1550790781,17,616
1550877306,681,148
1550963824,148,6177
1551050321,6177,827
1551136759,827,208
1551223207,208,313
1551309664,313,2740
1551396131,2740,1138
1551482659,1138,71981
1551569117,71981,344
1551655645,344,350
1551742200,350,470
1551828674,470,2195
1551915132,2195,1417
1552001589,1417,426
1552088101,426,8715
1552174693,8715,615
1552261207,615,3158
1552347674,3158,4159
1552434242,4159,1380
1552520703,1380,322
1552607194,322,178
1552693730,178,1050
1552780210,1050,1104
1552866681,1100,4123
1552953124,4127,544
1553039708,543,2722
1553126166,2723,17448
1553212681,17448,31
1553299152,31,625
1553385603,625,15415
1553472063,15415,10510
1553558525,10510,640
1553644985,640,292
1553731453,292,283
1553817918,283,913
1553904367,913,630
1553990833,630,2251
1554077348,2251,4376
1554163811,4376,687
1554250279,687,2362
1554336785,2362,205
1554423280,205,33865
1554509703,33865,113
1554596166,113,34
1554682624,34,81
1554769148,81,1349
1554855608,1349,935
1554942079,935,492
1555028531,492,849
1555115044,849,1441
1555201650,1441,58519
1555288176,58503,899
1555374603,915,4198
1555461079,4198,209
1555547545,209,224
1555633989,224,584
1555720502,584,370
1555807001,370,120
1555893611,120,8782
1555980078,8782,16429
1556066543,16429,1875
1556153059,1875,2309
1556239533,2309,1393
1556325992,1393,1405
1556412481,1405,131
1556499015,131,461
1556585480,461,832
1556672014,832,933
1556758480,933,71
1556844909,71,2233
1556931427,2233,346
1557017951,346,574
1557104403,574,439
1557190863,439,271
1557277323,271,8987
1557363784,8987,908
1557450248,908,4235
1557536726,4235,2318
1557623172,2318,637
1557709628,637,22
1557796091,22,304
1557882564,304,826
1557969062,826,2385
1558055536,2385,317
1558142101,317,17739
1558228573,17739,271
1558315031,271,292
1558401544,292,536
1558488014,536,67169
1558574479,67169,1071
1558660966,1071,246
1558747408,245,596
1558833848,597,4226
1558920548,4226,982
1559007002,982,4549
1559093465,4549,66441
1559179953,66441,1032
1559266550,1032,60125
1559353024,60125,2324
1559439501,2324,1615
1559526004,1615,822
1559612476,822,1558
1559698966,1558,8669
1559785406,8657,429
1559871910,441,1603
1559958386,1603,1081
1560044862,1081,153
1560131344,153,591
1560217816,591,148
1560304280,148,4415
1560390856,4415,3272
1560477309,3272,277
1560563828,277,343
1560650306,343,855
1560736746,855,1224
1560823202,1224,56
1560909665,56,4583
1561082583,4583,1170
1561169051,1170,337
1561255515,337,893
1561341975,893,95
1561428426,95,825
1561514897,825,1191
1561601363,1191,2769
1561687806,2769,567
1561774279,567,4574
1561860730,4574,158
1561947201,158,481
1562033662,480,190
1562120102,191,1126
1562206627,1126,20603
1562293090,20603,1325
1562379565,1325,4266
1562466006,4265,339
1562552481,340,78
1562638922,78,429
1562725441,429,586
1562811961,586,143
1562898482,143,361
1562984975,360,1310
1563071403,1311,139
1563157867,138,8506
1563244332,8507,1986
1563330842,1986,312
1563417302,312,27016
1563503814,27016,1338
1563590282,1338,7282
1563676802,7282,1857
1563763282,1857,2128
1563849894,2128,66617
1563936305,66617,449
1564022770,449,54449
1564109396,54449,413
1564195894,413,291
1564282333,291,1424
1564368828,1424,402
1564455304,402,2143
1564541800,2143,76
1564628347,76,186
1564714803,186,920
1564801263,920,1369
1564887724,1369,931
1564974183,931,281
1565060642,281,6200
1565147104,6200,689
1565233562,689,4477
1565320063,4477,412
1565406483,412,157
1565492947,157,2089
1565579402,2089,4902
1565665863,4902,720
1565752322,720,364
1565838782,364,67647
1565925242,67647,659
1566011704,659,8499
1566098222,8499,4195
1566184683,4195,16727
1566271142,16727,816
1566357608,816,1194
1566444079,1194,677
1566530537,677,751
1566617102,751,399
1566703573,399,19
1566790122,19,446
1566876542,446,73
1566963003,73,282
1567049463,282,2319
1567135981,2319,4170
1567222442,4170,558
1567308906,558,415
1567395366,415,5155
1567481868,5155,914
1567568283,914,3123
1567654742,3123,312
1567741206,312,1868
1567827680,1868,2410
1567914134,2410,1240
1568000641,1240,705
1568087104,705,834
1568173562,834,16714
1568260022,16714,2232
1568346542,2232,349
1568433062,349,12408
1568519525,12408,8797
1568606015,8797,2315
1568692442,2315,321
1568778903,321,276
1568865422,276,1236
1568951926,1236,1123
1569038345,1123,235
1569124802,235,1115
1569211321,1115,1344
1569297783,1344,1117
1569384250,1117,1650
1569470706,1650,2439
1569557164,2439,10854
1569643625,10854,5058
1569730142,5058,275
1569816621,275,6226
1569903081,6226,97
1569989570,97,1572
1570076055,1572,283
1570162502,283,1619
1570248962,1619,1116
1570335424,1116,1058
1570421949,1058,908
1570508405,908,1751
1570594863,1751,849
1570681513,849,18926
1570768142,18926,1566
1570854604,1566,543
1570941075,543,608
1571027555,608,614
1571114042,614,825
1571200569,825,1377
1571287042,1377,2417
1571373524,2417,1328
1571460010,1328,48
1571546481,48,4818
1571632968,4786,302
1571719502,334,284
1571806032,284,1042
1571892484,1042,312
1571978943,312,65930
1572065487,65930,578
1572151990,578,2390
1572238509,2390,2088
1572324974,2088,1034
1572411458,1034,1399
1572497899,1399,5459
1572584367,5459,1721
1572670803,1721,1400
1572757263,1400,285
1572843725,285,65746
1572930184,65746,1687
1573016662,1687,58622
1573103106,58622,73769
1573189682,73769,65868
1573276150,65868,3158
1573362677,3158,468
1573449199,468,548
1573535702,548,521
1573622167,521,91
1573708627,91,9099
1573795096,9099,939
1573881553,939,777
1573968006,777,65594
1574054481,65594,269
1574140951,269,539
1574227457,538,623
1574313913,624,138
1574400422,138,584
1574486900,584,2955
1574573361,2955,36
1574659803,36,16696
1574746265,16696,343
1574832728,343,1575
1574919229,1575,3645
1575005643,3645,940
1575092115,940,4254
1575178564,4254,1683
1575265031,1683,4909
1575351580,4909,776
1575524483,776,328
1575610966,328,1716
1575697426,1716,5447
1575783848,5446,352
1575870303,353,272
1575956796,272,832
1576043227,832,4488
1576129685,4488,4210
1576216166,4210,847
1576302633,847,1033
1576389082,1032,283
1576475702,284,300
1576562183,299,331
1576648622,332,92
1576735090,92,1279
1576821566,1279,32988
1576908002,32988,1408
1576994466,1408,54824
1577080923,54824,1626
1577167383,1626,4058
1577253858,4058,739
1577340303,739,2170
1577426765,2170,1814
1577513230,1814,1036
1577599686,1036,2366
1577686159,2366,1483
1577772604,1483,756
1577859080,756,2312
1577945702,2312,65968
1578032222,65968,14
1578118748,14,118
1578205204,118,587
1578291675,587,46
1578378193,46,1047
1578464685,1047,59
1578551107,59,2852
1578637711,2852,92
1578724202,92,494
1578810788,494,785
1578897301,785,20340
1578983946,20340,650
1579070405,650,4406
1579156875,4406,8867
1579243383,8867,9595
1579329909,9595,1115
1579416393,1112,326
1579502883,329,592
1579589367,592,392
1579675862,392,168
1579762337,168,15372
1579848818,15372,8643
1579935283,8643,746
1580021709,746,1606
1580108246,1606,89
1580194689,89,189
1580281189,189,265
1580367602,265,98
1580454065,98,672
1580540523,672,2571
1580626990,2571,1231
1580713446,1231,100
1580799910,100,9230
1580886368,9230,1595
1580972829,1595,4876
1581059287,4620,317
1581145747,573,634
1581232208,634,18
1581318666,18,8462
1581405127,8462,464
1581491587,464,4136
1581578047,4136,418
1581664503,418,2329
1581750967,2329,114
1581837427,114,66
1581923887,66,9250
1582010346,9250,470
1582096809,470,98
1582183266,98,343
1582269727,343,656
1582356186,656,24
1582442647,24,428
1582529162,428,8249
1582615742,8249,962
1582702321,962,548
1582788787,548,603
1582875246,603,266
1582961707,266,2097
1583048166,2097,1857
1583134626,1857,66094
1583221096,66094,565
1583307545,565,11
1583394006,11,100
1583480469,99,4381
1583566927,4382,1205
1583653390,1205,92
1583739845,92,17
1583826304,17,726
1583912765,726,615
1583999225,615,1719
1584085685,1718,282
1584172146,283,198
1584258605,198,2557
1584345066,2557,283
1584431524,283,10
1584517985,10,9817
1584604445,9817,17
1584690905,17,4161
1584777365,4160,586
1584863825,587,128
1584950287,127,4414
1585036745,4415,329
1585123203,329,964
1585209669,964,528
1585296129,528,93
1585382640,92,552
1585469060,553,3932
1585555525,3932,426
