DateTime,AddedIPs,RemovedIPs
1548111739,6522,6522
1548198193,6566,6566
1548284657,5363,5363
1548371193,6082,6082
1548544129,5655,5655
1548630572,2129,2129
1548717007,2108,2108
1548803474,2163,2163
1548890041,2909,2909
1548976503,5150,5150
1549062984,4821,4821
1549149482,2701,2701
1549236029,2031,2031
1549322702,2232,2232
1549409162,2095,2095
1549495801,2090,2090
1549582333,2122,2122
1549668809,2195,2195
1549755336,2271,2271
1549841769,2448,2448
1549928282,2376,2376
1550015034,2309,2309
1550101468,2345,2345
1550187907,2635,2635
1550274539,2641,2641
1550361072,3353,3353
1550447651,3716,3716
1550534119,4226,4226
1550620569,3648,3648
1550707027,3754,3754
1550793548,3457,3457
1550880003,3598,3598
1550966482,3645,3645
1551052932,3206,3206
1551139396,3113,3113
1551225848,3089,3089
1551312319,2764,2764
1551398781,2891,2891
1551485244,2815,2815
1551571718,2806,2806
1551658158,2668,2668
1551744617,2580,2580
1551831119,2587,2587
1551917548,2697,2697
1552004004,2650,2650
1552090468,2648,2648
1552176903,2862,2862
1552263394,3004,3004
1552349837,2987,2987
1552436308,3006,3006
1552522763,3218,3218
1552609228,1860,1860
1552695723,4551,4551
1552782224,3342,3342
1552868667,3402,3402
1552955123,4049,4049
1553041582,3780,3780
1553128058,3896,3896
1553214521,4042,4042
1553301003,3612,3612
1553387494,3025,3025
1553473986,3250,3250
1553560473,3126,3126
1553646918,2804,2804
1553733373,3043,3044
1553819841,2798,2798
1553906302,2844,2844
1553992766,2723,2722
1554079463,2593,2593
1554166294,3283,3283
1554252772,3194,3194
1554339383,3516,3516
1554426002,3557,3557
1554512477,3467,3467
1554598983,3404,3404
1554685502,2789,2789
1554772164,2780,2780
1554858629,3915,3915
1554945094,3033,3033
1555031653,2768,2768
1555118163,2597,2597
1555204626,2550,2550
1555291457,2630,2630
1555378263,2905,2905
1555465082,3103,3103
1555551664,3152,3152
1555638302,3012,3012
1555724955,2945,2945
1555811505,2661,2661
1555897982,2565,2565
1555984517,2700,2700
1556071015,2622,2622
1556157429,2618,2618
1556243989,2789,2789
1556330405,2857,2857
1556416872,2875,2875
1556503397,2763,2763
1556589843,2892,2892
1556676350,2857,2857
1556762962,2836,2836
1556849420,2815,2815
1556936010,2671,2671
1557022504,2548,2548
1557108985,2547,2547
1557195436,2801,2801
1557281914,2785,2785
1557368539,2745,2745
1557455402,2657,2657
1557541886,2487,2487
1557628502,2536,2536
1557715000,2611,2611
1557801613,2761,2761
1557888219,2651,2651
1557974702,2768,2768
1558061440,2807,2807
1558147922,2506,2506
1558234518,2734,2734
1558321190,2644,2644
1558407605,2897,2897
1558494108,2738,2738
1558580609,2724,2724
1558667060,2687,2687
1558753510,2690,2690
1558840054,2661,2661
1558926530,2842,2842
1559013010,2851,2851
1559099642,2745,2745
1559186106,2675,2675
1559272633,2626,2626
1559359153,2831,2831
1559445633,2759,2759
1559532463,2619,2619
1559618967,2788,2788
1559705408,2732,2732
1559791894,2671,2671
1559878458,2643,2643
1559965033,2741,2741
1560051588,2734,2734
1560138021,2802,2802
1560224702,3044,3044
1560311222,2694,2694
1560397935,2362,2362
1560484516,2777,2777
1560571125,2500,2500
1560657593,2632,2632
1560744007,2614,2614
1560830465,2377,2377
1560917042,2473,2473
1561003564,2490,2490
1561090135,2628,2628
1561176612,2747,2747
1561263155,3248,3248
1561349702,2895,2895
1561436234,3303,3303
1561522699,3259,3259
1561609322,2872,2872
1561695862,2875,2875
1561782482,3252,3252
1561869001,3039,3039
1561955542,3195,3195
1562042010,3228,3228
1562128459,2949,2949
1562215213,2717,2717
1562301824,2831,2831
1562388301,2845,2845
1562561549,2947,2947
1562648094,2878,2878
1562734562,3099,3099
1562821075,2884,2884
1562907578,2935,2935
1562994005,2889,2889
1563080467,2999,2999
1563166959,3052,3052
1563253415,2274,2274
1563599343,6496,6496
1563685816,2839,2839
1563772341,2841,2841
1563858902,3031,3031
1563945422,2939,2939
1564032083,2963,2963
1564119001,2754,2754
1564205636,2838,2838
1564292362,2968,2968
1564379102,2951,2951
1564465684,3011,3011
1564552362,2991,2991
1564638856,3067,3067
1564725318,2878,2878
1564811967,2902,2902
1564898408,2817,2817
1564984873,2797,2797
1565071333,3104,3104
1565157792,3243,3243
1565244252,3325,3325
1565330715,3150,3150
1565417173,2989,2989
1565503631,2724,2724
1565590092,2884,2884
1565676542,3280,3280
1565763012,3217,3217
1565849472,3489,3489
1565935932,3483,3483
1566022398,3541,3541
1566108851,3598,3598
