DateTime,AddedIPs,RemovedIPs
1549494547,3812,136243
1549581009,136243,66616
1549667483,66616,67845
1549753941,67845,131405
1549840459,131405,69769
1549926964,69769,13540
1550013484,13540,73693
1550099950,73693,9017
1550186407,9017,1113
1550272941,1113,67492
1550359493,67492,3016
1550445952,3016,132033
1550532498,132033,74812
1550618961,74812,1124
1550705409,1124,198328
1550791904,198328,69192
1550878386,69192,1568
1550965059,1568,66768
1551051526,66768,9296
1551138006,9296,133041
1551224596,133041,16608
1551311130,16608,11336
1551397629,11336,3653
1551484093,3653,2182
1551570913,2182,38980
1551657424,38980,74418
1551743944,74418,262508
1551830410,262508,69404
1551916879,69404,76366
1552003335,76366,706
1552089789,706,116296
1552176262,116296,880
1552262729,880,10789
1552349178,10789,850
1552435632,850,33640
1552522093,33640,2168
1552608550,2168,2232
1552695038,2232,4566
1552781488,4566,71121
1552867932,71121,1060
1552954445,1060,197288
1553040908,197288,66908
1553127391,66908,108060
1553213832,108060,2012
1553300344,2012,1050
1553386808,1050,6500
1553473324,6500,1308
1553559800,1308,132009
1553646251,132009,66928
1553732710,66928,1148
1553819176,1148,1077
1553905631,1077,67297
1553992090,67297,75129
1554078607,75129,67988
1554165389,67988,132572
1554251933,132572,2996
1554338405,2996,67408
1554424948,67408,668
1554511467,668,42772
1554597930,42772,66193
1554684524,66193,67372
1554771018,67372,66444
1554857609,66444,67198
1554944070,67198,13646
1555030509,13646,4904
1555117086,4904,2353
1555203598,2353,67624
1555290014,67624,1024
1555376562,1024,68272
1555463036,68272,2340
1555549472,2340,77549
1555635924,77549,17693
1555722426,17693,134748
1555808981,134748,264313
1555895418,264313,33916
1555981894,33916,11888
1556068435,11888,17983
1556154918,17983,978
1556241426,978,1141
1556327919,1141,76716
1556414405,76716,72152
1556501029,72152,131416
1556587524,131416,74936
1556673998,74936,77320
1556760607,77320,5321
1556847106,5321,6997
1556933545,6997,66896
1557020011,66896,198488
1557106575,198488,10236
1557193030,10236,1692
1557279598,1692,1817
1557366007,1817,72534
1557452714,72534,2038
1557539243,2038,5180
1557626112,5180,67580
1557712572,67580,132492
1557799076,132492,6422
1557885544,6422,140112
1557972014,140112,71112
1558058468,71112,953
1558144929,953,9760
1558231389,9760,67742
1558317851,67742,3356
1558404309,3356,671
1558490769,671,7036
1558577225,7036,388
1558663691,388,5752
1558750150,5752,767
1558836609,767,68451
1558923070,68451,2023
1559009531,2023,757
1559095990,757,10922
1559182452,10922,596
1559268909,596,1260
1559355372,1260,1672
1559441827,1672,68780
1559528344,68780,1600
1559614809,1600,66489
1559701269,66489,2661
1559787729,2661,988
1559874189,988,9140
1559960649,9140,10405
1560047109,10405,68456
1560133569,68456,951
1560220029,951,2057
1560306491,2057,80826
1560392951,80826,69008
1560479407,69008,197280
1560565869,197280,329890
1560652329,329890,72720
1560738844,72720,9976
1560825309,9976,920
1560911770,920,203905
1560998229,203905,13649
1561084689,13649,68044
1561171146,68044,2716
1561257607,2716,149308
1561430529,149308,796
1561516988,796,1161
1561603451,1161,66529
1561689914,66529,82384
1561776369,82384,69328
1561862830,69328,10685
1561949290,10685,3564
1562035750,3564,1172
1562122210,1172,66157
1562208670,66157,136414
1562295130,136414,68072
1562381589,68072,384
1562468050,384,66456
1562554511,66456,5480
1562640969,5480,70844
1562727430,70844,568
1562813889,568,68016
1562900370,68016,2808
1562986813,2808,69792
1563073277,69792,4581
1563159758,4581,67528
1563246215,67528,4124
1563332656,4124,4561
1563419143,4561,2852
1563505585,2852,1566
1563592085,1566,352
1563678557,352,2448
1563765010,2448,14184
1563851465,14184,3225
1563937950,3225,380
1564024445,380,927
1564110906,927,1520
1564197391,1520,66953
1564283826,66953,131629
1564370293,131629,577
1564456746,577,4464
1564543205,4464,67748
1564629678,67748,1697
1564716146,1697,2240
1564802604,2240,1156
1564889109,1156,3552
1564975624,3552,131973
1565062144,131973,160572
1565148606,160572,2216
1565235125,2216,1080
1565321644,1080,5184
1565408113,5184,329133
1565494566,329133,16833
1565581025,16833,184692
1565667486,184692,139089
1565754005,139089,20744
1565840469,20744,708
1565926984,708,440
1566013469,440,1173
1566099934,1173,4169
1566186425,4169,263077
1566272901,263077,66848
1566359470,66848,4629
1566445957,4629,131669
1566532425,131669,1384
1566618895,1384,1020
1566705313,1020,132272
1566791944,132272,6656
1566878413,6656,2356
1566964866,2356,4594
1567051352,4594,704
1567137836,704,69776
1567224307,69776,72829
1567310828,72829,5888
1567397310,5888,67964
1567483784,67964,131924
1567570218,131924,10917
1567656676,10917,66484
1567743248,66484,1575
1567829716,1575,15498
1567916225,15498,760
1568002686,760,6868
1568089205,6868,66553
1568175791,66553,67833
1568262336,67833,66569
1568349005,66569,12356
1568435496,12356,2832
1568521939,2832,1944
1568608487,1944,1624
1568694923,1624,449
1568781368,449,1105
1568867895,1105,198452
1568954406,198452,1233
1569041027,1233,66886
1569127549,66886,2186
1569214385,2186,71088
1569300870,71088,1752
1569387309,1752,134728
1569473885,134728,692
1569560407,692,66089
1569646872,66089,1364
1569733385,1364,201460
1569819857,201460,873
1569906336,873,2596
1569992805,2596,37581
1570079257,37581,3172
1570165792,3172,5097
1570252217,5097,2660
1570338726,2660,8940
1570425187,8940,8800
1570511719,8800,1165109
1570598226,1165109,133521
1570684805,133521,78504
1570771444,78504,933
1570857966,933,3572
1570944509,3572,857
1571030953,857,959
1571117407,959,9910
1571203895,9910,6037
1571290542,6037,66660
1571377030,66660,1089
1571463606,1089,1436
1571550126,1436,68888
1571636720,68888,5084
1571723285,5084,132388
1571809769,132388,1509
1571896236,1509,74770
1571982709,74770,869
1572069309,869,5601
1572155825,5601,67714
1572242406,67714,33029
1572328865,33029,5391
1572415378,5391,68736
1572501788,68736,438
1572588305,438,34428
1572674777,34428,71976
1572761235,71976,84416
1572847783,84416,4112
1572934217,4112,132249
1573020672,132249,15336
1573107312,15336,4678
1573193831,4678,8617
1573280325,8617,67040
1573366774,67040,800
1573453206,800,68180
1573539706,68180,1141
1573626156,1141,66805
1573712707,66805,133256
1573799188,133256,4204
1573885651,4204,2872
1573972205,2872,4304
1574059206,4304,972
1574145856,972,1432
1574232317,1432,985
1574318838,985,1180
1574405487,1180,131984
1574492109,131984,198929
1574578685,198929,1923
1574665213,1923,67483
1574751669,67483,4481
1574838126,4481,6641
1574924587,6641,2616
1575011051,2616,16777565
1575097508,16777565,660
1575183969,660,6300
1575270434,6300,924
1575356889,924,66977
1575443348,66977,132025
1575529809,132025,66888
1575616268,66888,1181
1575702728,1181,1641
1575789189,1641,66196
1575875649,66196,37465
1575962110,37465,70473
1576048571,70473,93416
1576135029,93416,197360
1576221490,197360,196797
1576394409,196797,2260
1576480870,2260,67188
1576567328,67188,1140
1576653789,1140,17609
1576740250,17609,7089
1576826709,7089,5512
1576913171,5512,66054
1576999628,66054,67881
1577086089,67881,65947
1577172549,65947,17388
1577259013,17388,72432
1577345469,72432,840
1577431930,840,2944
1577518390,2944,3619
1577604848,3619,68592
1577691309,68592,1729
1577777769,1729,646
1577864228,646,70376
1577950690,70376,18412
1578037149,18412,1571709
1578123608,1571709,696
1578210069,696,1537
1578296645,1537,1296
1578383109,1296,66634
1578469569,66634,148320
1578556028,148320,135909
1578642491,135909,640
1578729025,640,70032
1578815469,70032,19368
