DateTime,AddedIPs,RemovedIPs
1549494070,2440,365
1549580542,365,3274
1549666991,3274,2916
1549753508,2916,78377
1549840014,78377,2396
1549926429,2396,1352
1550012909,1352,3304
1550099359,3304,1184
1550185810,1184,2401
1550272269,2401,1200
1550358739,1200,83224
1550445273,83224,8467484
1550531710,8467484,1673
1550618196,1673,1153
1550704628,1153,2047
1550791091,2047,1485
1550877550,1485,2490
1550964009,2490,4332
1551050519,4332,9448
1551136939,9448,4840
1551223477,4840,1952
1551309909,1952,492
1551396475,492,613
1551483008,613,719
1551569469,719,673
1551655949,673,252297
1551742394,252297,141177
1551828914,141177,211
1551915426,211,3308
1552002010,3308,1700
1552088487,1700,1784
1552174999,1784,66696
1552261467,66696,988
1552347935,988,1416
1552434387,1416,66580
1552520863,66580,3700
1552607327,3700,791689
1552693760,791689,10208
1552780214,10208,4984
1552866687,4984,328
1552953147,328,68924
1553039607,68924,696
1553126084,696,736
1553212509,736,2168
1553299027,2168,429
1553385487,429,649
1553472007,649,3269
1553558468,3269,4258
1553644932,4258,853
1553731390,853,4720
1553817850,4720,66207
1553904312,66207,752
1553990767,752,372
1554077311,372,2865
1554163752,2865,2529
1554250212,2529,41537
1554336676,41537,1040
1554423154,1040,328190
1554509590,328190,88056
1554596047,88056,605
1554682509,605,132037
1554769026,132037,9848
1554855546,9848,2120
1554942009,2120,66856
1555028493,66856,469
1555115053,469,67793
1555201589,67793,65958
1555288028,65958,68234
1555374493,68234,139613
1555461010,139613,148208
1555547563,148208,1677
1555633990,1677,664
1555720495,664,508
1555807039,508,17156
1555893608,17156,776
1555980189,776,67148
1556066651,67148,168
1556153182,168,5512
1556239686,5512,3536
1556326168,3536,185
1556412614,185,10845
1556499108,10845,75724
1556585529,75724,902
1556672045,902,68512
1556758566,68512,131892
1556845128,131892,33640
1556931560,33640,66695
1557018009,66695,2241
1557104469,2241,131473
1557190936,131473,4269
1557277394,4269,592
1557363880,592,68013
1557450318,68013,5556
1557536781,5556,70864
1557623240,70864,2755
1557709699,2755,74888
1557796177,74888,17348
1557882611,17348,818
1557969104,818,1996
1558055540,1996,3128
1558228568,3128,4480
1558315027,4480,1212
1558401495,1212,5024
1558488009,5024,608
1558574595,608,3940
1558661250,3940,674
1558747809,674,338
1558834267,338,66700
1558920786,66700,9152
1559007286,9152,361
1559093765,361,38628
1559180408,38628,2368
1559266926,2368,17000
1559353469,17000,66245
1559439918,66245,870
1559526369,870,8564
1559612916,8564,66398
1559699355,66398,168
1559786073,168,4688
1559872510,4688,76156
1559958995,76156,365
1560045446,365,1525
1560131952,1525,132016
1560218408,132016,461
1560304867,461,2416
1560391329,2416,1596
1560477789,1596,34254
1560564366,34254,41601
1560650827,41601,2432
1560737294,2432,1937
1560823748,1937,66104
1560910210,66104,1900
1560996669,1900,492
1561083127,492,1920
1561169588,1920,19352
1561256049,19352,4446
1561342510,4446,1804
1561428969,1804,65727
1561515429,65727,332181
1561601889,332181,192
1561688349,192,155988
1561774809,155988,961
1561861269,961,1001
1561947729,1001,74593
1562034189,74577,67760
1562120649,67776,67156
1562207109,67156,67321
1562293570,67321,1449
1562380029,1449,390528
1562466546,390528,262648
1562553010,262648,1324
1562639471,1324,66384
1562725929,66384,1112
1562812388,1112,783
1562898911,783,263208
1562985374,263208,2048
1563071889,2048,5909
1563158387,5909,9845
1563244808,9845,66416
1563331326,66416,70337
1563417811,70337,66208
1563504310,66208,1015
1563590776,1015,1000
1563677241,1000,65868
1563763689,65868,4844
1563850150,4844,132161
1563936610,132161,624
1564023068,624,66869
1564109530,66869,2137
1564195993,2137,5031
1564282452,5031,139397
1564368913,139397,948
1564455372,948,1088
1564541829,1088,133436
1564628290,133436,6188
1564714753,6188,1952
1564801211,1952,7612
1564887672,7612,8362
1564974172,8362,9781
1565060587,9781,9037
1565147080,9037,66041
1565233516,66041,67163
1565319981,67163,84494
1565406442,84494,7774
1565492991,7774,1144
1565579409,1144,2101
1565665871,2101,1419
1565752329,1419,10553
1565838907,10553,109377
1565925427,109377,4280
1566011890,4280,66336
1566098408,66336,65992
1566184935,65992,3668
1566271506,3668,1135
1566358051,1135,409
1566444523,409,716
1566531008,716,572
1566617646,572,69790
1566704113,69790,853
