DateTime,AddedIPs,RemovedIPs
1548691005,23155,17211
1548777400,23910,20917
1548863803,23224,19477
1548950201,23620,19198
1549036623,23313,21937
1549123015,15225,25538
1549209397,13717,24752
1549295800,11749,17044
1549382208,24319,23044
1549468608,22453,12712
1549555012,25995,25286
1549641420,13588,25090
1549727834,28556,25759
1549814219,24380,12368
1549900610,25530,8863
1549987019,14805,8858
1550073419,11993,8481
1550159823,13011,13738
1550246223,12679,20758
1550332626,13680,10816
1550419036,23497,9886
1550505434,24937,9901
1550591839,18278,11109
1550678240,16657,11316
1550764639,24653,9425
1550851046,17006,8829
1550937447,12944,12207
1551023874,12026,28128
1551110267,12442,26560
1551196670,30183,20477
1551283033,28860,21825
1551369429,24429,23790
1551455832,17637,23958
1551542244,20880,23540
1551628637,18417,23205
1551715033,13066,14760
1551801431,11122,13517
1551887839,11165,11306
1551974234,23551,23236
1552060634,27393,21773
1552147037,14059,25795
1552233429,18416,13862
1552319827,9801,31160
1552406225,21421,23470
1552492635,25213,25995
1552579025,24502,11736
1552665436,22599,16045
1552751810,22221,13324
1552838210,10503,12453
1552924630,21396,13458
1553011080,14897,24322
1553097522,10881,23448
1553183820,21757,17669
1553270323,2842,16847
1553356593,6938,25974
1553442995,9891,16921
1553529392,8633,13505
1553554646,1182,4290
1554325360,91182,175528
1554411718,12787,51345
1554498090,24554,13947
1554584490,13662,25968
1554670893,24176,25956
1554757289,19870,12760
1554843685,24151,16778
1554930084,20419,10624
1555016483,20415,24697
1555102920,17573,25768
1555189311,16052,24594
1555275678,8211,24418
1555362096,13738,18999
1555448482,12897,12156
1555534876,11414,21631
1555621271,22017,13415
1555707668,5924,11692
1555794065,10384,22151
1555880464,9905,1704
1555966865,6568,9018
1556053272,5675,10960
1556139669,9728,6624
1556226076,13031,4738
1556312472,8929,52
1556398863,8269,15652
1556485252,4685,10549
1556571651,4527,11799
1556658050,4703,10513
1556744450,5,44
1556830852,1839,38
1556917251,4678,759
1557003645,4771,14656
1557090067,7676,23746
1557176444,5672,13661
1557262841,5318,24980
1557349240,7567,19857
1557435639,8300,24559
1557522058,10668,20371
1557608437,5656,21359
1557694836,6265,17901
1557781243,13332,16093
1557867649,25420,8274
1557954044,15887,13405
1558040440,9483,15240
1558126839,4362,12873
1558213236,4247,22828
1558299635,2785,5894
1558386036,2307,10734
1558472434,3330,9914
1558558836,8480,6561
1558645237,12059,5551
1558731646,15511,9597
1558818039,11518,12994
1558904438,7913,8810
1558990842,10726,8246
1559077242,11524,4659
1559163658,9090,4367
1559250043,7241,4586
1559336446,5735,145
1559422846,4726,1645
1559509245,5327,4714
1559595648,4714,4833
1559682045,5700,7431
1559768445,5999,5821
1559854845,10582,5168
1559941245,7799,7426
1560027646,11996,8024
1560114046,13840,10164
1560200460,15581,5601
1560286850,16627,6017
1560373294,13016,12680
1560459644,9030,25719
1560546044,16787,16097
1560632444,17157,10101
1560718845,11262,4434
1560805297,9662,4387
1560891648,9622,2662
1560978052,9426,2192
1561064461,18334,2959
1561150863,12159,8086
1561237259,6912,11948
1561323657,13459,15166
1561410059,16023,11466
1561496515,13834,7744
1561582857,8187,10497
1561669255,5159,11658
1561755656,6451,9340
1561842055,5359,7167
1561928456,3393,5712
1562014864,4415,4731
1562101261,7669,5384
1562187665,5882,4680
1562274078,7837,5316
1562342504,1619,6075
1562601707,4,27957
1562688195,16360,16721
1562774500,16737,14646
1562861046,6613,17279
1562947304,8515,14302
1563033705,5909,8872
1563120100,6453,14024
1563206526,8110,18998
1563292977,7912,12985
1563379469,7407,9045
1563465761,6610,9958
1563552099,6029,9851
1563638499,5694,15991
1563724909,22050,13831
1563811310,17448,7499
1563897711,18462,11507
1563984102,17860,15767
1564070497,14416,15231
1564156900,13427,9329
1564243306,12229,5086
