DateTime,AddedIPs,RemovedIPs
1549389612,151,90
1549476014,134,127
1549562413,121,126
1549648813,161,176
1549735215,115,113
1549823431,86,135
1549911619,147,137
1549998020,332,145
1550084433,511,105
1550170822,727,245
1550257219,692,123
1550343624,683,125
1550430012,332,125
1550516412,138,158
1550602828,147,122
1550689212,207,83
1550775613,169,144
1550862014,157,291
1550948414,153,479
1551034828,58,728
1551121212,61,695
1551207625,58,737
1551294013,54,390
1551380412,61,144
1551466827,56,152
1551553213,145,223
1551639612,80,199
1551726013,74,144
1551812412,60,153
1551898812,79,72
1551985214,100,76
1552071613,108,81
1552158027,86,81
1552244414,83,65
1552330823,64,54
1552417213,97,123
1552503613,63,80
1552590013,69,76
1552676413,87,65
1552762815,56,75
1552849213,40,115
1552935613,58,133
1553022014,138,93
1553108471,125,119
1553194815,100,67
1553281216,98,118
1553367612,115,70
1553454028,48,63
1553540413,52,77
1553626845,95,42
1553713215,107,45
1553799613,111,62
1553886014,74,130
1553972414,84,125
1554058835,83,97
1554145213,100,90
1554231613,92,124
1554318014,116,56
1554404415,137,56
1554490814,106,106
1554577213,98,126
1554663616,112,116
1554750018,158,73
1554836413,122,86
1554922815,117,90
1555009217,115,104
1555095614,100,101
1555182025,74,114
1555268440,120,135
1555354815,119,105
1555441214,139,95
1555527614,93,106
1555614014,99,160
1555700413,74,124
1555786813,66,113
1555873213,86,112
1555959614,95,110
1556046022,109,86
1556132414,125,122
1556218813,123,120
1556305213,104,139
1556393414,125,96
1556481614,130,101
1556569815,89,66
1556658014,113,64
1556746213,164,85
1556834413,130,102
1556922614,102,118
1557010813,75,103
1557099013,96,127
1557185831,789,92
1557273765,3158,126
1557361814,1398,123
1557450013,95,94
1557538214,83,144
1557626413,79,169
1557714616,79,125
1557802823,70,93
1557891014,58,72
1557979214,66,96
1558067413,88,712
1558155614,101,3623
1558243815,58,1018
1558332014,65,89
1558420214,90,72
1558508414,76,75
1558596614,53,101
1558684828,65,75
1558773013,67,68
1558861214,60,73
1558949482,60,87
1559037615,165,88
1559125816,69,67
1559214015,110,63
1559302228,178,83
1559390414,109,70
1559478614,99,55
1559565030,104,72
1559651415,77,64
1559737815,80,66
1559824214,54,124
1559910622,53,70
1559997014,50,64
1560083415,47,111
1560169814,65,210
1560256215,55,107
1560342614,55,95
1560429016,66,105
1560515414,48,83
1560601814,86,76
1560688215,68,51
1560774615,70,61
1560861015,85,52
1560947415,72,61
1561033816,113,75
1561120214,101,60
1561206614,59,62
1561293015,76,69
1561379414,47,49
1561465815,36,87
1561552214,42,62
1561638614,42,55
1561725014,50,72
1561811415,48,68
1561897814,50,118
1561984214,60,100
1562070615,54,58
1562157015,47,65
1562243414,40,48
1562329815,51,33
1562416215,62,49
1562502616,71,59
1562589016,62,55
1562675415,79,49
1562761814,66,50
1562848216,52,65
1562934617,64,53
1563021018,49,45
1563107414,51,39
1563193815,62,56
1563280215,111,57
1563366630,93,73
1563453016,102,48
1563539415,92,72
1563625815,73,61
1563712215,39,43
1563798615,50,61
1563885015,36,48
1563971414,70,48
1564057815,94,65
1564138816,64,96
1564225218,70,76
1564311617,74,98
1564398015,67,102
1564484415,76,72
1564570821,67,52
1564657216,64,64
1564743616,54,39
1564830017,46,57
1564916417,55,103
1565002816,69,78
1565089216,66,64
1565175618,55,77
1565262016,129,66
1565348418,67,79
1565434816,66,63
1565521216,71,96
1565607616,56,64
1565694020,58,50
1565780418,75,50
1565866816,63,72
1565953217,84,64
1566039615,51,56
1566126016,88,129
1566212416,78,69
1566298816,68,61
1566385217,425,45
1566471616,127,45
1566558015,68,60
1566644415,49,67
1566730815,43,60
1566817216,48,58
1566903616,63,43
1566990016,61,79
1567076436,70,63
1567162831,60,60
1567249224,68,307
1567335616,52,112
1567422016,46,75
1567508417,65,42
1567594816,72,48
1567681216,81,74
1567767616,60,132
1567854016,40,98
1567940417,42,90
1568026816,49,87
1568113217,49,71
1568199618,145,56
1568286018,134,51
1568372417,124,106
1568458822,92,71
1568545220,79,85
1568631616,73,58
1568718021,65,41
1568804418,57,45
1568890821,73,54
1568977216,78,49
1569063616,61,139
1569150016,23,128
1569236421,47,121
1569322818,32,81
1569409217,36,77
1569495617,40,79
1569582016,88,70
1569668418,56,85
1569754817,22,71
1569841215,46,68
1569927617,49,61
1570014024,73,22
1570100416,63,35
1570186817,34,38
1570273216,24,35
1570359617,26,40
1570446019,22,93
1570532418,64,75
1570618819,77,35
1570705217,40,55
1570791617,173,48
1570878018,32,72
1570964417,95,60
1571050819,77,33
1571137217,51,25
1571223616,25,22
1571310016,19,20
1571396417,18,48
1571482816,59,78
1571569217,70,37
1571655617,72,169
1571742016,31,51
1571828417,23,94
1571914817,19,71
1572001216,22,49
1572087617,17,21
1572174017,25,24
1572260416,28,30
1572346820,27,59
1572433221,38,67
1572519627,11,82
1572606024,28,36
1572692416,26,27
1572778816,37,22
1572865217,21,27
1572951616,17,17
1573038017,34,30
1573124417,20,25
1573210816,29,24
1573297217,16,43
1573383617,16,14
1573470017,20,25
1573556418,26,27
1573642818,20,35
1573729219,22,23
1573815617,28,17
1573902017,23,24
1573988416,41,22
1574074817,20,14
1574161217,70,13
1574247616,23,21
1574334018,32,20
1574420418,25,22
1574506818,30,23
1574593219,16,24
1574679618,22,28
1574766018,22,25
1574852418,37,42
1574938818,19,24
1575025217,66,40
1575111618,53,23
1575198017,51,30
1575284418,50,23
1575370819,32,64
1575457217,37,13
1575543619,27,18
1575630017,31,17
1575716419,19,31
1575802818,25,16
1575889218,40,55
1575975618,78,57
1576062020,144,52
1576148418,231,48
1576234823,40,32
1576321222,76,35
1576407618,43,23
1576494019,31,28
1576580418,35,16
1576666818,149,22
1576753217,37,42
1576839617,59,79
1576926018,84,143
1577012419,100,236
1577098818,56,40
1577185219,94,75
1577271618,129,48
1577358017,111,33
1577444418,166,32
1577530818,49,152
1577617223,33,35
1577703623,134,55
1577790017,71,80
1577876418,70,98
1577962822,37,50
1578049219,91,100
1578135617,68,129
1578222018,93,111
1578308417,124,168
1578394818,50,52
1578481219,44,39
1578567619,157,142
1578654018,122,70
1578740418,120,67
1578826818,114,39
1578913219,57,96
1578999619,52,66
1579086018,56,92
1579172420,39,122
1579258819,32,51
1579345218,34,39
1579431618,38,155
1579518018,29,123
1579604420,48,112
1579690819,122,115
1579777220,114,64
1579863620,133,54
1579950020,157,55
1580036418,81,41
1580122820,47,33
1580209220,94,36
1580295619,93,39
1580382019,111,32
1580468424,62,46
1580554819,43,78
1580641219,34,110
1580727623,72,128
1580814019,46,111
1580900420,68,74
1580986819,53,45
1581073219,55,93
1581159619,23,95
1581246019,52,103
1581332419,76,54
1581418819,47,50
1581505219,40,37
1581591620,33,74
1581678020,33,53
1581764421,26,55
1581850819,79,47
1581937219,75,55
1582023619,96,22
1582110019,81,52
1582196466,65,78
1582283046,141,47
1582369219,84,32
1582455619,106,33
1582542019,105,32
1582628420,180,27
1582714820,75,79
1582801219,82,65
1582887619,48,59
1582974024,119,73
1583060419,82,78
1583146821,84,146
1583233219,67,138
1583319628,45,116
1583406019,43,86
1583492419,299,108
1583578819,74,87
1583665219,71,85
1583751619,46,54
1583838020,61,66
1583924420,69,73
1584010820,36,96
1584097221,50,71
1584183619,46,50
1584270019,31,41
1584356420,38,298
1584442819,57,46
1584529225,40,74
1584615619,35,33
1584702019,42,53
1584788420,56,91
1584874820,62,76
1584961219,70,79
1585047622,56,54
1585134021,61,49
1585220426,36,52
1585306822,45,52
1585393221,41,32
1585479620,57,50
1585566020,30,57
1585652422,73,61
1585738820,48,59
1585825220,53,83
1585911623,43,64
1585998024,35,65
1586084420,59,38
1586170820,58,51
1586257220,74,42
1586343620,85,50
1586430023,97,29
1586516420,56,87
1586602820,84,48
1586689220,55,52
1586775624,50,41
1586862021,107,39
1586948421,31,54
1587034821,63,57
1587121220,52,60
1587207620,40,71
1587294020,42,54
1587380422,47,56
1587466821,84,79
1587553220,75,54
1587639620,57,62
1587726021,60,96
1587812421,74,28
1587898820,70,42
1587985221,65,40
1588071620,59,31
1588158022,65,34
1588244440,49,58
1588330820,44,103
1588417221,40,114
1588503620,42,80
1588590020,25,86
1588676420,59,84
1588762820,45,87
1588849221,300,66
1588935620,145,57
1589022020,81,76
1589108421,59,71
1589194821,65,39
1589281225,283,41
1589367620,139,37
1589454021,52,23
1589540422,38,59
1589626820,55,47
1589713222,65,292
1589799621,50,150
1589886022,106,86
1589972421,38,59
1590058821,45,75
1590145221,44,260
1590231622,64,142
1590318022,49,58
1590404421,45,38
1590490821,49,56
1590577221,48,67
1590663621,29,52
1590750021,39,60
1590834622,38,39
1591270221,256,270
1591356622,72,67
1591443021,55,49
1591529421,49,33
1591615824,38,45
1591702220,25,38
1591788621,35,32
1591875021,36,71
1591961421,53,78
1592047821,40,42
1592134222,36,41
1592220621,28,53
1592307022,33,44
1592393424,45,55
1592479822,81,40
1592566222,59,23
1592652624,63,33
1592739022,67,33
1592825422,51,52
1592911822,55,41
