DateTime,Entries,UniqueIPs
1592091003,5341,5341
1592092804,5306,5306
1592094603,5282,5282
1592096404,5206,5206
1592098204,4911,4911
1592100004,4935,4935
1592101803,5027,5027
1592103604,5035,5035
1592105404,4955,4955
1592107204,5056,5056
1592109004,4906,4906
1592110804,4854,4854
1592112604,4767,4767
1592114404,4810,4810
1592116204,4809,4809
1592118004,4576,4576
1592119804,4392,4392
1592121604,4419,4419
1592123405,4601,4601
1592125204,4637,4637
1592127005,4654,4654
1592128804,4761,4761
1592130604,4836,4836
1592132405,4822,4822
1592134204,4818,4818
1592136004,4871,4871
1592137804,4958,4958
1592139604,5212,5212
1592141404,5438,5438
1592144104,5598,5598
1592145904,5577,5577
1592147703,5463,5463
1592149504,5539,5539
1592151304,5623,5623
1592153107,5464,5464
1592154904,5324,5324
1592156704,5331,5331
1592158504,5286,5286
1592160304,5444,5444
1592162104,5489,5489
1592163904,5584,5584
1592165704,5710,5710
1592167505,6063,6063
1592169304,6168,6168
1592171104,6265,6265
1592172903,6480,6480
1592174703,6548,6548
1592176504,5872,5872
1592178304,5855,5855
1592180104,5881,5881
1592181905,5785,5785
1592183704,5920,5920
1592185504,5771,5771
1592187304,5330,5330
1592189105,5218,5218
1592190904,5119,5119
1592192704,4700,4700
1592194504,3581,3581
1592196304,3234,3234
1592198105,2955,2955
1592199904,2878,2878
1592201704,2978,2978
1592203504,3097,3097
1592205304,3084,3084
1592207104,3420,3420
1592208904,3718,3718
1592210704,4095,4095
1592212504,4657,4657
1592214304,5184,5184
1592216105,5283,5283
1592217904,5377,5377
1592219704,5540,5540
1592221505,5867,5867
1592223304,6052,6052
1592225104,6321,6321
1592226904,6523,6523
1592228704,6632,6632
1592230503,6911,6911
1592232303,7101,7101
1592234104,7320,7320
1592235903,7543,7543
1592237704,7823,7823
1592239503,7869,7869
1592241304,8043,8043
1592243103,8090,8090
1592244903,7918,7918
1592246703,7924,7924
1592248503,8171,8171
1592250303,8265,8265
1592252103,8286,8286
1592253903,8134,8134
