DateTime,Entries,UniqueIPs
1549798815,50,50
1549883533,89,90
1549972093,48,50
1550057049,96,99
1550142018,94,97
1550231055,49,50
1550315528,96,99
1550401222,96,99
1550489535,49,50
1550577853,49,50
1550663533,98,100
1550748735,96,97
1550835133,95,97
1550919852,98,99
1551008410,46,50
1551093608,96,100
1551179291,98,99
1551269052,50,50
1551354254,96,97
1551440411,93,97
1551525854,95,98
1551612249,97,99
1551697695,96,98
1551787205,50,50
1551872166,98,100
1551957127,94,97
1552045684,50,50
1552130422,98,99
1552218969,49,50
1552303685,96,99
1552392247,50,50
1552476728,99,99
1552561925,100,100
1552650727,50,50
1552736652,95,95
1552822086,88,92
1552910891,50,50
1552997293,48,50
1553081771,92,94
1553170328,50,50
1553255768,92,93
1553341208,93,94
1553429772,50,50
1553514490,94,95
1553602824,50,50
1553687527,99,99
1553823848,46,50
1553900889,86,94
1553985368,96,98
1554074893,47,50
1554160093,95,100
1554245781,97,98
1554334092,50,50
1554419052,98,98
1554504977,95,98
1554593289,48,50
1554677769,96,98
1554766565,50,50
1554851297,84,86
1554937694,87,89
1555023853,92,94
1555112166,50,50
1555196425,94,94
1555284968,49,50
1555370173,92,94
1555456332,92,94
1555545142,48,50
1555630334,91,95
1555715050,97,98
1555800978,94,95
1555889766,50,50
1555974735,99,99
1556063532,49,50
1556148975,94,97
1556235609,50,50
1556320093,98,99
1556408408,50,50
1556492888,95,96
1556579069,93,95
1556668351,50,50
1556754736,94,97
1556840170,93,95
1556924646,99,100
1557012966,49,50
1557097932,96,100
1557186109,47,50
1557270968,92,97
1557359532,49,50
1557444251,98,99
1557532571,49,50
1557617531,96,98
1557704649,50,50
1557789367,99,100
1557878169,50,50
1557962650,96,96
1558050968,49,50
1558136372,92,95
1558221371,93,96
1558309933,50,50
1558395128,98,99
1558480100,92,94
1558569368,49,50
1558653851,94,95
1558742903,50,50
1558827371,90,92
1558915935,49,50
1558999927,96,100
1559088731,50,50
1559173689,99,99
1559260100,48,50
1559344811,90,98
1559433132,50,50
1559518097,97,98
1559607135,50,50
1559692092,98,100
1559777290,96,98
1559865690,50,50
1559950327,95,96
1560039371,50,50
1560124332,97,97
1560212650,49,50
1560298342,96,98
1560383062,97,99
1560472092,50,50
1560557291,99,99
1560641766,93,93
1560730576,50,50
1560815291,93,93
1560900727,95,96
1560989290,50,50
1561074006,94,95
1561162574,49,50
1561247529,95,96
1561336101,50,50
1561420576,96,98
1561509130,50,50
1561593622,93,93
1561678566,95,95
1561767609,47,50
1561852571,94,99
1561940896,49,50
1562026336,97,98
1562111533,98,99
1562197945,48,50
1562286263,50,50
1562370970,98,99
1562460009,47,50
1562544490,96,99
1562630899,50,50
1562716856,94,96
1562806328,49,50
1562891055,96,98
1562976016,91,97
1563064567,50,50
1563149048,97,97
1563234971,99,99
1563323529,50,50
1563408251,98,99
1563496566,49,50
1563581529,95,96
1563670572,50,50
1563755293,98,99
1563843853,49,50
1563929055,97,98
1564014966,98,99
1564099929,95,99
1564188971,50,50
1564273693,95,96
1564362491,50,50
1564447449,97,99
1564531939,94,95
1564620967,49,50
1564705931,94,96
1564791128,92,94
1564880418,49,50
1564965366,93,98
1565051051,96,99
1565139618,49,50
1565224331,95,96
1565309532,98,99
1565398332,49,50
1565483291,98,99
1565568492,98,99
1565657054,49,50
1565741775,97,100
1565830819,49,50
1565916007,92,96
1566001210,92,96
1566089769,50,50
1566175211,93,97
1566260892,87,96
1566347050,93,97
1566432506,94,99
1566522498,49,50
1566608167,96,98
1566693376,97,98
1566779049,90,92
1566867848,49,50
1566953289,93,95
1567038250,92,94
1567124890,49,50
1567211289,89,90
1567300092,49,50
1567386253,91,93
1567470969,98,100
1567556407,98,100
1567646169,50,50
1567731133,97,99
1567817534,48,50
1567902973,96,98
1567988407,96,96
1568078187,49,50
1568163623,94,99
1568248810,93,99
1568334733,97,98
1568422091,48,50
1568508752,49,50
1568594410,92,98
1568681051,49,50
1568770088,50,50
1568855049,91,94
1568940486,91,94
1569026409,88,93
1569115689,49,50
1569201130,93,95
1569288011,46,50
1569374410,87,92
1569460335,95,96
1569545531,93,93
1569631455,94,98
1569720966,49,50
1569805931,94,100
1569891130,89,96
1569976812,91,97
1570066568,50,50
1570152248,97,98
1570237692,94,97
1570322773,97,97
1570412183,49,50
1570497871,95,97
1570583772,93,96
1570669693,96,98
1570755131,97,98
1570843933,49,50
1570929670,96,99
1571015056,95,97
1571100735,89,92
1571190490,50,50
1571275931,90,93
1571361633,90,92
1571446570,93,94
1571535850,47,50
1571621532,88,92
1571707449,94,94
1571793848,85,91
1571878832,90,97
1571968091,49,50
1572054251,93,99
1572139938,78,89
1572226815,49,50
1572313936,49,50
1572398899,98,100
1572484098,95,98
1572570008,94,96
1572659530,49,50
1572744731,93,98
1572830420,94,97
1572917769,50,50
1573003450,94,100
1573088657,85,93
1573177208,49,50
1573262893,96,98
1573349054,93,98
1573434255,92,98
1573523304,50,50
1573608980,92,96
1573693692,96,99
1573783467,50,50
1573868407,97,98
1573953851,94,95
1574039291,98,98
1574128810,48,50
1574214011,93,96
1574299215,97,99
1574388019,49,50
1574473933,98,99
1574558888,94,94
1574647692,50,50
1574733847,94,94
1574819289,91,93
1574904966,95,96
1574990684,89,93
1575076818,86,91
1575165847,50,50
1575251769,93,94
1575337455,91,92
1575423611,92,94
1575509534,90,92
1575594971,90,92
1575683530,49,50
1575769688,91,93
1575855139,92,93
1575940572,96,96
1576027213,50,50
1576115769,50,50
1576201217,93,99
1576286647,89,95
1576376167,49,50
1576461126,87,94
1576547047,93,97
1576632246,98,98
1576720817,50,50
1576806251,97,98
1576892406,96,97
1576981446,50,50
1577066647,93,95
1577151367,88,92
1577240653,50,50
1577325851,92,94
1577410568,91,93
1577499849,49,50
1577585293,92,93
1577671452,95,95
1577756407,95,96
1577845688,50,50
1577931369,90,91
1578016328,91,92
1578102007,92,93
1578191538,50,50
1578276485,91,91
1578361697,93,96
1578447127,93,96
1578536165,50,50
1578621372,93,94
1578706805,96,97
1578795848,50,50
1578882008,95,97
1578968167,92,96
1579053611,91,95
1579139292,97,99
1579225448,88,97
1579314966,50,50
1579399925,98,99
1579484648,98,99
1579573687,44,50
1579658169,93,99
1579746729,50,50
1579831689,99,99
1579920007,50,50
1580004970,99,99
1580089686,99,100
1580178248,48,50
1580263212,96,98
1580352004,48,50
