DateTime,AddedIPs,RemovedIPs
1549798815,42,42
1549883533,40,40
1549972093,49,49
1550057049,49,49
1550142018,47,47
1550231055,49,49
1550315528,49,49
1550401222,49,49
1550489535,49,49
1550577853,48,48
1550663533,50,50
1550748735,47,47
1550835133,47,47
1550919852,49,49
1551008410,49,49
1551093608,50,50
1551179291,49,49
1551269052,50,50
1551354254,47,47
1551440411,47,47
1551525854,48,48
1551612249,49,49
1551697695,48,48
1551787205,48,48
1551872166,50,50
1551957127,47,47
1552045684,48,48
1552130422,49,49
1552218969,49,49
1552303685,49,49
1552392247,50,50
1552476728,49,49
1552561925,50,50
1552650727,41,41
1552736652,45,45
1552822086,42,42
1552910891,44,44
1552997293,42,42
1553081771,44,44
1553170328,42,42
1553255768,43,43
1553341208,44,44
1553429772,46,46
1553514490,45,45
1553602824,43,43
1553687527,49,49
1553823848,50,50
1553900889,44,44
1553985368,48,48
1554074893,48,48
1554160093,50,50
1554245781,48,48
1554334092,50,50
1554419052,48,48
1554504977,48,48
1554593289,48,48
1554677769,48,48
1554766565,48,48
1554851297,36,36
1554937694,39,39
1555023853,44,44
1555112166,45,45
1555196425,44,44
1555284968,43,43
1555370173,44,44
1555456332,44,44
1555545142,47,47
1555630334,45,45
1555715050,48,48
1555800978,45,45
1555889766,45,45
1555974735,49,49
1556063532,48,48
1556148975,47,47
1556235609,47,47
1556320093,49,49
1556408408,46,46
1556492888,46,46
1556579069,45,45
1556668351,44,44
1556754736,47,47
1556840170,45,45
1556924646,50,50
1557012966,47,47
1557097932,50,50
1557186109,47,47
1557270968,47,47
1557359532,48,48
1557444251,49,49
1557532571,49,49
1557617531,48,48
1557704649,50,50
1557789367,50,50
1557878169,48,48
1557962650,46,46
1558050968,44,44
1558136372,45,45
1558221371,46,46
1558309933,47,47
1558395128,49,49
1558480100,44,44
1558569368,45,45
1558653851,45,45
1558742903,45,45
1558827371,42,42
1558915935,43,43
1558999927,50,50
1559088731,49,49
1559173689,49,49
1559260100,48,48
1559344811,48,48
1559433132,46,46
1559518097,48,48
1559607135,48,48
1559692092,50,50
1559777290,48,48
1559865690,49,49
1559950327,46,46
1560039371,47,47
1560124332,47,47
1560212650,48,48
1560298342,48,48
1560383062,49,49
1560472092,47,47
1560557291,49,49
1560641766,43,43
1560730576,45,45
1560815291,43,43
1560900727,46,46
1560989290,46,46
1561074006,45,45
1561162574,45,45
1561247529,46,46
1561336101,44,44
1561420576,48,48
1561509130,49,49
1561593622,43,43
1561678566,45,46
1561767609,48,47
