DateTime,Entries,UniqueIPs
1549841052,46,50
1549926008,89,96
1550010971,95,99
1550099529,49,50
1550184497,94,95
1550269448,95,98
1550358739,49,50
1550443450,98,100
1550531770,50,50
1550616488,97,99
1550702410,92,97
1550792672,50,50
1550877610,95,100
1550962325,93,96
1551047290,92,98
1551137052,49,50
1551222499,95,100
1551307941,93,97
1551393620,93,96
1551479051,97,100
1551565933,49,50
1551654733,50,50
1551741128,98,100
1551825850,98,100
1551911060,93,97
1551999368,49,50
1552084325,95,99
1552172893,47,50
1552257612,85,96
1552346166,49,50
1552430650,96,99
1552519452,49,50
1552604422,94,98
1552690334,95,99
1552775289,96,100
1552864565,50,50
1552950730,95,99
1553035689,93,96
1553124249,49,50
1553209227,99,100
1553294888,100,100
1553379849,95,95
1553468169,50,50
1553552888,73,73
1553641216,50,50
1553823849,49,50
1553900890,98,99
1553989210,50,50
1554074894,97,100
1554160094,96,99
1554249656,50,50
1554334093,97,98
1554419053,96,97
1554508852,47,50
1554593290,81,95
1554681619,46,50
1554766566,95,100
1554851298,90,94
1554937695,86,93
1555023854,77,89
1555112167,48,50
1555196426,90,96
1555284969,47,50
1555370174,81,93
1555456333,90,97
1555545143,50,50
1555630335,95,99
1555715051,96,98
1555804854,50,50
1555889767,61,61
1555974736,98,100
1556063533,50,50
1556148976,96,98
1556235610,49,50
1556320094,88,89
1556408409,48,50
1556492889,94,97
1556579070,93,94
1556668352,50,50
1556754737,95,98
1556840171,95,98
1556924647,99,99
1557012967,50,50
1557097933,95,100
1557186110,47,50
1557270969,91,95
1557359533,49,50
1557444252,97,98
1557532572,49,50
1557617532,98,99
1557704650,50,50
1557789368,96,99
1557878170,50,50
1557962651,94,98
1558050969,49,50
1558136373,93,97
1558221372,93,97
1558309934,50,50
1558395129,100,100
1558480101,99,100
1558569369,50,50
1558653852,98,100
1558739056,99,99
1558827372,50,50
1558912089,99,99
1558999928,50,50
1559084896,96,97
1559173690,50,50
1559260101,50,50
1559344812,93,96
1559433133,50,50
1559518098,95,98
1559603288,97,100
1559692093,49,50
1559777291,98,99
1559862017,100,100
1559950328,49,50
1560035532,94,97
1560124333,50,50
1560208809,98,99
1560294511,97,98
1560383063,50,50
1560468250,98,98
1560553448,97,99
1560641767,50,50
1560726733,99,99
1560815292,50,50
1560900728,98,98
