DateTime,AddedIPs,RemovedIPs
1549841052,33,31
1549926008,33,0
1550010971,29,24
1550099529,33,29
1550184497,25,29
1550269448,29,31
1550358739,30,60
1550443450,34,32
1550531770,29,36
1550616488,29,37
1550702410,25,0
1550792672,25,78
1550877610,33,40
1550962325,29,0
1551047290,28,37
1551137052,25,61
1551222499,27,29
1551307941,34,0
1551393620,37,37
1551479051,35,27
1551565933,27,31
1551654733,31,63
1551741128,38,31
1551825850,31,0
1551911060,25,29
1551999368,26,24
1552084325,35,25
1552172893,24,57
1552257612,22,0
1552346166,33,59
1552430650,31,0
1552519452,28,63
1552604422,28,30
1552690334,31,0
1552775289,31,29
1552864565,28,55
1552950730,32,0
1553035689,31,65
1553124249,33,25
1553209227,46,32
1553294888,44,23
1553379849,43,0
1553468169,42,33
1553552888,21,33
1553641216,34,63
1553823849,31,49
1553900890,41,30
1553989210,29,35
1554074894,36,31
1554160094,35,30
1554249656,36,36
1554334093,35,41
1554419053,43,29
1554508852,38,34
1554593290,34,26
1554681619,29,37
1554766566,38,33
1554851298,30,28
1554937695,36,0
1555023854,27,69
1555112167,35,31
1555196426,39,35
1555284969,30,30
1555370174,33,34
1555456333,43,0
1555545143,35,68
1555630335,42,38
1555715051,46,0
1555804854,45,79
1555889767,10,41
1555974736,35,42
1556063533,36,22
1556148976,35,47
1556235610,44,43
1556320094,33,0
1556408409,26,0
1556492889,35,37
1556579070,24,40
1556668352,37,86
1556754737,31,34
1556840171,33,0
1556924647,43,32
1557012967,33,78
1557097933,29,0
1557186110,23,61
1557270969,30,0
1557359533,36,77
1557444252,41,31
1557532572,36,29
1557617532,36,42
1557704650,34,32
1557789368,39,31
1557878170,33,31
1557962651,28,41
1558050969,33,30
1558136373,40,0
1558221372,26,36
1558309934,42,66
1558395129,43,0
1558480101,38,10
1558569369,37,68
1558653852,38,0
1558739056,39,32
1558827372,40,33
1558912089,30,32
1558999928,36,41
1559084896,33,62
1559173690,38,31
1559260101,28,0
1559344812,32,36
1559433133,41,60
1559518098,39,35
1559603288,33,0
1559692093,36,64
1559777291,39,0
1559862017,45,31
1559950328,33,37
1560035532,36,31
1560124333,40,36
1560208809,32,33
1560294511,35,36
1560383063,36,68
1560468250,37,0
1560553448,35,30
1560641767,42,36
1560726733,36,31
1560815292,39,70
1560900728,40,0
1560985452,37,39
1561074007,41,79
1561158846,39,0
1561247530,34,78
1561332253,41,36
1561420577,37,37
1561505296,42,41
1561593623,47,40
1561678567,43,40
1561763772,40,0
1561852572,36,71
1561937052,37,34
1562022501,38,0
1562111535,38,70
1562197946,34,40
1562282414,40,0
1562370971,43,76
1562456167,35,46
1562540653,33,0
1562626844,40,38
1562716858,38,82
1562802492,37,37
1562887207,34,35
1562976017,42,40
1563060730,40,43
1563145219,38,0
1563234972,39,78
1563319691,36,41
1563404410,37,0
1563492733,41,76
1563577695,37,35
1563666731,40,39
1563751453,40,37
1563840007,38,36
1563925212,41,36
1564011132,38,0
1564096091,37,37
1564185148,41,41
1564269855,41,46
1564358417,38,81
1564443606,39,0
1564528120,40,38
1564617128,42,78
1564702091,41,0
1564787293,36,39
1564876574,33,80
