DateTime,AddedIPs,RemovedIPs
1549752740,46,46
1549841052,48,48
1549926008,46,46
1550010971,49,49
1550099529,48,48
1550184497,45,45
1550269448,48,48
1550358739,47,47
1550443450,50,50
1550531770,48,48
1550616488,49,49
1550702410,47,47
1550792672,47,47
1550877610,50,50
1550962325,46,46
1551047290,48,48
1551137052,49,49
1551222499,50,50
1551307941,47,47
1551393620,46,46
1551479051,50,50
1551565933,48,48
1551654733,48,48
1551741128,50,50
1551825850,50,50
1551911060,47,47
1551999368,45,45
1552084325,49,49
1552172893,46,46
1552257612,46,46
1552346166,48,48
1552430650,49,49
1552519452,46,46
1552604422,48,48
1552690334,49,49
1552775289,50,50
1552864565,49,49
1552950730,49,49
1553035689,46,46
1553124249,50,50
1553209227,50,50
1553294888,50,50
1553379849,45,45
1553468169,45,45
1553552888,23,23
1553641216,50,50
1553823849,50,50
1553900890,49,49
1553989210,50,50
1554074894,50,50
1554160094,49,49
1554249656,49,49
1554334093,48,48
1554419053,47,47
1554508852,48,48
1554593290,45,45
1554681619,42,42
1554766566,50,50
1554851298,44,44
1554937695,43,43
1555023854,39,39
1555112167,49,49
1555196426,46,46
1555284969,36,36
1555370174,43,43
1555456333,47,47
1555545143,46,46
1555630335,49,49
1555715051,48,48
1555804854,49,49
1555889767,11,11
1555974736,50,50
1556063533,43,43
1556148976,48,48
1556235610,50,50
1556320094,39,39
1556408409,46,46
1556492889,47,47
1556579070,44,44
1556668352,46,46
1556754737,48,48
1556840171,48,48
1556924647,49,49
1557012967,49,49
1557097933,50,50
1557186110,43,43
1557270969,45,45
1557359533,48,48
1557444252,48,48
1557532572,48,48
1557617532,49,49
1557704650,50,50
1557789368,49,49
1557878170,49,49
1557962651,48,48
1558050969,47,47
1558136373,47,47
1558221372,47,47
1558309934,49,49
1558395129,50,50
1558480101,50,50
1558569369,49,49
1558653852,50,50
1558739056,49,49
1558827372,48,48
1558912089,49,49
1558999928,49,49
1559084896,47,47
1559173690,49,49
1559260101,47,47
1559344812,46,46
1559433133,48,48
1559518098,48,48
1559603288,50,50
1559692093,49,49
1559777291,49,49
1559862017,50,50
1559950328,50,50
1560035532,47,47
1560124333,47,47
1560208809,49,49
1560294511,48,48
1560383063,49,49
1560468250,48,48
1560553448,49,49
1560641767,49,49
1560726733,49,49
1560815292,50,50
1560900728,48,48
1560985452,47,47
1561074007,47,47
1561158846,48,48
1561247530,48,48
1561332253,50,50
1561420577,48,48
1561505296,49,49
1561593623,49,49
1561678567,47,47
1561763772,50,50
1561852572,48,48
1561937052,50,50
1562022501,48,48
1562111535,49,49
1562197946,49,49
1562282414,47,47
1562370971,50,50
1562456167,47,47
1562540653,43,43
1562626844,50,50
1562716858,48,48
1562802492,46,46
1562887207,49,49
1562976017,49,49
1563060730,50,50
1563145219,49,49
1563234972,49,49
1563319691,50,50
1563404410,48,48
1563492733,46,46
1563577695,47,47
1563666731,49,49
1563751453,48,48
1563840007,50,50
1563925212,50,50
1564011132,49,49
1564096091,49,49
1564185148,49,49
1564269855,47,47
1564358417,48,48
1564443606,49,49
1564528120,50,50
1564617128,49,49
1564702091,49,49
1564787293,45,45
1564876574,48,48
1564961532,49,49
1565046966,49,49
1565135770,49,49
1565220487,49,49
1565305691,50,50
1565394251,48,48
1565479451,48,48
1565564648,48,48
1565653211,49,49
1565737934,48,48
1565826972,49,49
1565912180,48,48
1565997376,49,49
1566085932,50,50
1566171370,50,50
1566257053,49,49
1566343206,48,48
1566428650,47,47
1566514826,50,50
1566604333,50,50
1566689289,50,50
1566775210,49,49
1566864022,48,48
1566949448,50,50
1567034415,50,50
1567121053,49,49
1567207455,49,49
1567292445,47,47
1567382422,49,49
1567467132,50,50
1567552568,49,49
1567638498,48,48
1567727288,49,49
1567813454,49,49
1567899136,50,50
1567984574,50,50
1568070254,49,49
1568159773,49,49
1568244969,49,49
1568330887,48,48
1568418256,50,50
1568504652,47,47
1568590569,50,50
1568677212,50,50
1568762407,50,50
1568851219,48,48
1568936650,49,49
1569022569,46,46
1569108011,49,49
1569193456,49,49
1569280101,49,49
1569366495,45,45
1569452671,48,48
1569541695,48,48
1569627611,45,45
1569713287,47,47
1569798036,49,49
1569887289,48,48
1569972968,47,47
1570058648,49,49
1570144566,47,47
1570233608,46,46
1570319052,45,45
1570404490,50,50
1570489931,47,47
1570576088,49,49
1570665610,47,47
1570751291,49,49
1570835771,46,46
1570921699,48,48
1571011216,49,49
1571096889,48,48
1571182807,50,50
1571268251,47,47
1571353943,48,48
1571442729,48,48
1571528180,47,47
1571613849,48,48
1571699773,48,48
1571786176,47,47
1571874969,47,47
1571960410,48,48
1572046571,47,47
1572132253,49,49
1572218891,48,48
1572306013,49,49
1572391217,48,48
1572480028,47,47
1572566166,46,46
1572651850,49,49
1572737052,48,48
1572824652,49,49
1572910332,49,49
1572995770,44,44
1573084822,48,48
1573169533,48,48
1573255208,47,47
1573341375,50,50
1573430417,48,48
1573515606,50,50
1573601290,46,46
1573686023,48,48
1573775767,47,47
1573860731,49,49
1573946169,49,49
1574031631,50,50
1574121133,50,50
1574206331,49,49
1574291531,47,47
1574380330,49,49
1574466263,50,50
1574551224,50,50
1574640017,47,47
1574726179,47,47
1574811609,49,49
1574897288,50,50
1574982974,47,47
1575068898,44,44
1575158168,50,50
1575244091,45,45
1575329768,47,47
1575415689,49,49
1575501850,49,49
1575587057,45,45
1575675848,46,46
1575762009,47,47
1575847453,47,47
1575932652,45,45
1576019295,47,47
1576108086,46,46
1576193537,48,48
1576278730,48,48
1576364417,45,45
1576453447,49,49
1576539365,49,49
1576624331,48,48
1576713131,49,49
1576798566,50,50
1576884730,48,48
1576969946,48,48
1577058968,48,48
1577143697,50,50
1577228895,49,49
1577318168,47,47
1577402888,49,49
1577488332,47,47
1577577618,46,46
1577663772,47,47
1577748733,49,49
1577833929,48,48
1577919629,47,47
1578008650,49,49
1578094097,48,48
1578179530,48,48
1578268823,49,49
1578353766,47,47
1578439453,48,48
1578524416,49,49
1578613690,48,48
1578699134,47,47
1578784101,48,48
1578870254,49,49
1578960028,47,47
1579045689,48,48
1579131606,49,49
1579217766,48,48
1579303207,47,47
1579388412,49,49
1579476967,49,49
1579562167,48,48
1579650488,50,50
1579735207,49,49
1579821853,48,48
1579908488,50,50
1579997294,45,45
1580082007,49,49
1580166730,50,50
1580255530,50,50
1580340505,49,49
1580428808,50,50
1580513767,48,48
1580598728,47,47
1580687528,47,47
1580772489,49,49
1580861050,48,48
1580946006,47,47
1581030725,48,48
1581119288,49,49
1581203767,49,49
1581292328,48,48
1581377529,47,47
1581462491,46,46
1581551290,49,49
1581636485,48,48
1581725293,50,50
1581810007,48,48
1581895208,50,50
1581983766,50,50
1582068731,48,48
1582153931,48,48
1582242488,50,50
1582327448,49,49
1582416254,49,49
1582500730,49,49
1582585453,50,50
1582674007,44,44
1582758729,48,48
1582847529,47,47
1582932250,48,48
1583021291,49,49
1583106007,48,48
1583190727,48,48
1583279287,48,48
1583364007,50,50
1583452567,49,49
1583537529,49,49
1583622251,50,50
1583710567,50,50
1583795528,50,50
1583883850,49,49
1583968331,48,48
1584056659,48,48
1584141366,47,47
1584229929,50,50
1584314651,48,48
1584400330,48,48
1584488651,49,49
1584573368,44,44
1584661930,49,49
1584746650,49,49
1584835451,49,49
1584919930,47,47
1585004650,47,47
1585092969,49,49
1585177929,48,48
1585266491,48,48
1585350967,47,47
1585439528,49,49
1585524490,50,50
1585613293,48,48
1585698007,46,46
1585782967,45,45
1585871528,47,47
1585956246,50,50
1586045049,47,47
1586130258,49,49
1586215209,48,48
1586303772,49,49
1586388250,48,48
1586476813,48,48
1586561767,48,48
1586646488,50,50
1586734807,48,48
1586819770,48,48
1586908326,48,48
1586993527,49,49
1587082091,48,48
1587166807,47,47
1587251289,47,47
1587339614,45,45
1587426006,47,47
1587511208,48,48
1587600011,48,48
1587683049,49,49
1587771368,48,48
1587856089,46,46
1587944648,49,49
1588029127,50,50
1588117928,50,50
1588202886,47,47
1588291214,47,47
1588376167,49,49
1588460894,47,47
1588549448,47,47
1588634408,48,48
1588723218,47,47
1588808167,46,46
1588893127,47,47
1588981686,41,41
1589066167,45,45
1589154488,43,43
1589238970,46,46
1589327292,46,46
1589412253,47,47
1589501293,48,48
1589586009,44,44
1589671696,50,50
1589757607,49,49
1589846410,47,47
1589931367,48,48
1590016092,47,47
1590103206,48,48
1590192007,47,47
1590276965,45,45
1590361927,46,46
1590450964,46,46
1590535930,48,48
1590620890,48,48
1590709928,49,49
1590795365,49,49
1590880324,47,47
1590969125,49,49
1591054325,49,49
1591142647,48,48
1591227605,49,49
1591312086,49,49
1591400409,48,48
1591485125,49,49
1591573448,48,48
1591658164,46,46
1591746484,49,49
1591831446,47,47
1591916889,44,44
1592005204,46,46
1592090164,46,46
1592179213,46,46
1592264645,46,46
1592349365,47,47
1592437927,49,49
1592522882,45,45
1592607850,49,49
1592696408,49,49
