DateTime,Entries,UniqueIPs
1549844888,1135,1229
1549929861,1128,1226
1550018652,1086,1182
1550103612,1085,1180
1550192431,1076,1173
1550277132,1071,1173
1550362810,1100,1205
1550451125,1098,1196
1550535609,1105,1200
1550624417,1057,1152
1550710091,1055,1153
1550796496,1046,1143
1550881447,1034,1135
1550970006,1018,1124
1551054966,1004,1119
1551140890,1029,1149
1551226331,1020,1138
1551315621,986,1105
1551401531,993,1109
1551486725,987,1105
1551573611,1015,1135
1551658813,1017,1137
1551746408,1025,1143
1551831368,1020,1140
1551917302,1011,1133
1552006334,980,1098
1552091049,983,1103
1552179365,984,1105
1552264087,980,1099
1552352895,998,1109
1552437847,994,1113
1552522570,1002,1120
1552611368,997,1121
1552696085,998,1123
1552781064,1027,1152
1552870329,997,1116
1552955288,995,1115
1553040260,1033,1153
1553128809,1006,1124
1553213776,1052,1172
1553302566,1042,1155
1553387530,1085,1198
1553475847,1074,1182
1553560564,1117,1225
1553645047,1135,1235
1553820005,1098,1187
1553908570,1107,1195
1553993050,1135,1228
1554078729,1104,1188
1554167768,1121,1208
1554253469,1134,1219
1554337933,1174,1259
1554426984,1150,1227
1554512652,1154,1234
1554597126,1183,1268
1554685451,1140,1224
1554770421,1170,1263
1554858970,1137,1228
1554945370,1127,1219
1555031529,1117,1208
1555116006,1123,1212
1555204091,1130,1211
1555288808,1123,1201
1555377853,1122,1202
1555464009,1116,1197
1555548972,1126,1203
1555634168,1118,1197
1555722733,1123,1201
1555808653,1126,1204
1555893606,1159,1237
1555982651,1101,1183
1556067856,1075,1171
1556152812,1058,1155
1556239473,1060,1159
1556327771,1091,1190
1556412251,1084,1183
1556500568,1118,1217
1556586726,1079,1174
1556672430,1065,1165
1556758567,1091,1195
1556844009,1088,1195
1556932326,1031,1146
1557016805,1061,1177
1557105607,1028,1149
1557189951,1022,1138
1557278650,1009,1124
1557363365,1011,1124
1557451929,1011,1127
1557536433,1041,1161
1557627137,1017,1127
1557708731,1021,1127
1557797052,1026,1137
1557882029,1037,1143
1557970339,1032,1141
1558054831,1067,1178
1558140247,1079,1186
1558229052,1059,1166
1558313767,1088,1200
1558402808,1045,1161
1558487771,1039,1155
1558573210,1071,1192
1558661768,1056,1177
1558746734,1071,1188
1558835063,1074,1190
1558919770,1109,1226
1559007609,1088,1195
1559092568,1121,1231
1559177770,1116,1227
1559263943,1106,1218
1559352488,1089,1194
1559436971,1104,1202
1559525767,1116,1207
1559610971,1122,1210
1559695931,1157,1249
1559784967,1132,1221
1559869446,1168,1258
1559958009,1152,1229
1560043207,1191,1270
1560128165,1200,1274
1560216486,1196,1267
1560302180,1175,1242
1560390733,1177,1236
1560475930,1176,1233
1560561130,1209,1272
1560649448,1179,1237
1560734407,1180,1237
1560822969,1182,1240
1560908405,1188,1243
1560993133,1230,1286
1561081684,1201,1258
1561166656,1193,1256
1561251369,1226,1293
1561339934,1193,1261
1561424440,1234,1302
1561512971,1205,1270
1561597452,1251,1316
1561686248,1219,1282
1561771453,1230,1290
1561856428,1239,1300
1561944736,1245,1307
1562030411,1235,1300
1562119210,1234,1299
1562205628,1226,1295
1562290088,1229,1293
1562374816,1261,1326
1562463850,1228,1288
1562548328,1268,1329
1562634744,1260,1322
1562720648,1208,1272
1562810168,1207,1271
1562894888,1209,1273
1562979852,1247,1314
1563068406,1216,1279
1563152892,1247,1312
1563238827,1245,1315
1563327368,1202,1271
1563412087,1228,1300
1563500410,1176,1248
1563585371,1168,1242
1563674430,1169,1243
1563759135,1178,1251
1563843852,1180,1255
1563932894,1180,1255
1564020020,1186,1261
1564105932,1181,1256
1564192829,1171,1247
1564277531,1210,1288
1564362490,1200,1279
1564451530,1164,1244
1564535871,1194,1280
1564624825,1163,1247
1564710020,1206,1290
1564794968,1218,1297
1564880417,1211,1293
1564969207,1187,1267
1565054884,1227,1307
1565143451,1180,1265
1565228165,1185,1269
1565313366,1193,1276
1565402169,1190,1273
1565487133,1187,1273
1565572326,1195,1277
1565660890,1191,1271
1565745609,1195,1272
1565834653,1189,1267
1565919848,1186,1265
1566005051,1187,1264
1566093613,1194,1266
1566179050,1198,1269
1566264745,1228,1302
1566351147,1183,1259
1566436334,1171,1248
1566522497,1200,1282
1566612162,1145,1232
1566697209,1171,1259
1566782892,1166,1256
1566867847,1152,1245
1566957134,1098,1189
1567042089,1137,1230
1567128732,1106,1194
1567215134,1134,1229
1567300091,1124,1220
1567386252,1124,1221
1567474809,1093,1189
1567560248,1136,1234
1567646168,1134,1235
1567734969,1128,1232
1567821368,1086,1189
1567906807,1074,1177
1567992250,1101,1205
1568078186,1095,1202
1568167451,1051,1155
1568252652,1087,1191
1568338813,1061,1163
1568425940,1088,1193
1568512571,1066,1164
1568598248,1068,1165
1568684889,1105,1202
1568770087,1104,1200
1568855048,1097,1193
1568944330,1060,1151
1569030251,1072,1162
1569115688,1073,1166
1569201128,1104,1200
1569288010,1105,1202
1569374409,1104,1199
1569460334,1064,1157
1569549368,1059,1154
1569635293,1048,1139
1569720965,1043,1133
1569805930,1068,1159
1569894970,1041,1132
1569980650,1036,1131
1570066567,1070,1165
1570152247,1061,1157
1570237691,1056,1152
1570326497,1055,1153
1570412182,1040,1140
1570497870,1044,1145
1570583771,1047,1152
1570669692,1051,1160
1570758968,1060,1172
1570843932,1051,1173
1570929669,1044,1174
1571015055,1030,1167
1571104569,1027,1168
1571190489,984,1132
1571275930,1009,1162
1571361632,982,1150
1571450420,928,1106
1571535848,946,1132
1571621531,944,1132
1571707448,935,1125
1571793847,910,1089
1571882891,922,1098
1571968090,923,1099
1572054250,920,1097
1572139937,943,1127
1572226814,952,1132
1572313935,911,1086
1572398898,922,1096
1572484097,925,1112
1572573851,910,1090
1572659529,921,1100
1572744730,933,1102
1572830418,950,1109
1572917767,988,1149
1573003449,983,1142
1573088655,992,1144
1573177207,981,1125
1573262892,989,1137
1573349053,1025,1174
1573434254,1045,1183
1573523303,1043,1170
1573608979,1053,1176
1573693691,1093,1216
1573783466,1080,1196
1573868406,1091,1205
1573953850,1103,1210
1574039290,1140,1251
1574128809,1122,1219
1574214010,1128,1221
1574299214,1163,1258
1574388018,1125,1215
1574473932,1149,1240
1574558887,1136,1231
1574643848,1132,1233
1574733846,1118,1213
1574819288,1129,1222
1574904965,1165,1259
1574990682,1163,1252
1575076817,1109,1190
1575165846,1130,1217
1575251768,1100,1185
1575337454,1106,1191
1575423610,1105,1189
1575509533,1141,1227
1575594970,1137,1224
1575683529,1109,1198
1575769687,1109,1196
1575855138,1099,1181
1575940571,1132,1216
1576027212,1095,1176
1576115768,1098,1179
1576201215,1099,1181
1576286646,1089,1168
1576372331,1123,1202
1576461125,1081,1159
1576547046,1082,1166
1576632245,1076,1160
1576720816,1066,1159
1576806250,1056,1156
1576892405,1049,1152
1576977604,1082,1186
1577066646,1048,1154
1577151366,1034,1137
1577236807,1035,1136
1577325850,1035,1137
1577410567,1062,1171
1577496008,1058,1165
1577581446,1061,1166
1577671451,1044,1148
1577756406,1070,1175
1577841845,1081,1182
1577857205,1046,1146
1577927532,1069,1170
1578016327,1028,1127
1578102006,1018,1118
1578187447,1007,1103
1578272649,1026,1126
1578361696,1009,1111
1578447126,1039,1141
1578532325,1045,1143
1578621371,1022,1118
1578706804,1043,1147
1578792010,1046,1148
1578878165,1053,1160
1578964335,1029,1130
1579053610,1043,1142
1579139291,1032,1131
1579225447,1029,1130
1579311134,1063,1165
1579396090,1070,1169
1579484647,1046,1136
1579569848,1048,1135
1579658168,1085,1175
1579742886,1085,1176
1579831688,1064,1156
1579916168,1097,1190
1580001127,1096,1190
1580089685,1052,1141
1580174406,1058,1143
1580263210,1096,1181
1580348165,1092,1178
1580432890,1097,1181
1580521448,1059,1140
1580606650,1097,1178
1580695210,1062,1141
1580780165,1073,1154
1580868731,1074,1154
1580953685,1103,1184
1581038405,1089,1177
1581126967,1068,1154
1581211448,1095,1182
1581300007,1074,1155
1581385206,1062,1142
1581470165,1093,1174
1581558966,1050,1131
1581644166,1076,1157
1581732965,1044,1122
1581817686,1054,1129
1581902888,1074,1150
1581991448,1046,1116
1582076404,1074,1144
1582161606,1057,1127
1582250166,1050,1123
1582335128,998,1071
1582423930,983,1057
1582508407,970,1043
1582596967,962,1031
1582681686,971,1041
1582766648,968,1037
1582855213,969,1038
1582940170,973,1045
1583028969,963,1040
1583113689,983,1060
1583198406,1020,1097
1583286965,1027,1105
1583371686,1034,1114
1583460489,1035,1117
1583545206,1042,1124
1583633767,1010,1091
1583718251,1048,1131
1583807051,1016,1094
1583891526,1047,1127
1583979847,1032,1110
1584064331,1033,1114
1584149050,1063,1147
1584237613,1040,1125
1584322331,1067,1157
1584411847,1049,1138
1584496329,1058,1148
1584584886,1057,1148
1584669612,1065,1156
1584754330,1076,1169
1584843130,1080,1164
1584927606,1098,1172
1585016169,1106,1173
1585100651,1108,1171
1585189448,1116,1172
1585274169,1103,1163
1585362486,1105,1164
1585447209,1143,1202
1585532168,1138,1193
1585620969,1123,1186
1585705685,1113,1177
1585794489,1070,1134
1585879216,1064,1126
1585963926,1050,1113
