DateTime,AddedIPs,RemovedIPs
1549760425,46,46
1549844888,48,48
1549929861,49,49
1550018652,46,46
1550103612,48,48
1550192431,46,46
1550277132,47,47
1550362810,49,49
1550451125,48,48
1550535609,48,48
1550624417,49,49
1550710091,49,49
1550796496,46,46
1550881447,45,45
1550970006,49,49
1551054966,45,45
1551140890,44,44
1551226331,45,45
1551315621,43,43
1551401531,43,43
1551486725,45,45
1551573611,48,48
1551658813,49,49
1551746408,49,49
1551831368,50,50
1551917302,49,49
1552006334,46,46
1552091049,50,50
1552179365,49,49
1552264087,48,48
1552352895,48,48
1552437847,49,49
1552522570,47,47
1552611368,45,45
1552696085,48,48
1552781064,49,49
1552870329,47,47
1552955288,50,50
1553040260,49,49
1553128809,50,50
1553213776,49,49
1553302566,50,50
1553387530,46,46
1553475847,47,47
1553560564,46,46
1553645047,49,49
1553820005,49,49
1553908570,48,48
1553993050,48,48
1554078729,48,48
1554167768,50,50
1554253469,50,50
1554337933,48,48
1554426984,49,49
1554512652,47,47
1554597126,41,41
1554685451,42,42
1554770421,48,48
1554858970,42,42
1554945370,40,40
1555031529,39,39
1555116006,49,49
1555204091,43,43
1555288808,39,39
1555377853,42,42
1555464009,48,48
1555548972,47,47
1555634168,44,44
1555722733,49,49
1555808653,49,49
1555893606,38,38
1555982651,49,49
1556067856,46,46
1556152812,42,42
1556239473,48,48
1556327771,46,46
1556412251,47,47
1556500568,46,46
1556586726,48,48
1556672430,48,48
1556758567,41,41
1556844009,46,46
1556932326,48,48
1557016805,44,44
1557105607,48,48
1557189951,44,44
1557278650,42,42
1557363365,45,45
1557451929,48,48
1557536433,48,48
1557627137,49,49
1557708731,50,50
1557797052,48,48
1557882029,50,50
1557970339,48,48
1558054831,47,47
1558140247,49,49
1558229052,47,47
1558313767,47,47
1558402808,49,49
1558487771,50,50
1558573210,48,48
1558661768,49,49
1558746734,47,47
1558835063,50,50
1558919770,47,47
1559007609,49,49
1559092568,49,49
1559177770,50,50
1559263943,50,50
1559352488,49,49
1559436971,49,49
1559525767,49,49
1559610971,49,49
1559695931,50,50
1559784967,50,50
1559869446,46,46
1559958009,50,50
1560043207,49,49
1560128165,50,50
1560216486,48,48
1560302180,49,49
1560390733,49,49
1560475930,45,45
1560561130,49,49
1560649448,48,48
1560734407,48,48
1560822969,49,49
1560908405,47,47
1560993133,50,50
1561081684,49,49
1561166656,48,48
1561251369,44,44
1561339934,49,49
1561424440,50,50
1561512971,50,50
1561597452,47,47
1561686248,49,49
1561771453,50,50
1561856428,49,49
1561944736,49,49
1562030411,48,48
1562119210,49,49
1562205628,49,49
1562290088,48,48
1562374816,50,50
1562463850,48,48
1562548328,49,49
1562634744,48,48
1562720648,49,49
1562810168,48,48
1562894888,50,50
1562979852,49,49
1563068406,50,50
1563152892,49,49
1563238827,50,50
1563327368,49,49
1563412087,46,46
1563500410,47,47
1563585371,47,47
1563674430,49,49
1563759135,50,50
1563843852,49,49
1563932894,49,49
1564020020,50,50
1564105932,50,50
1564192829,50,50
1564277531,49,49
1564362490,49,49
1564451530,50,50
1564535871,45,45
1564624825,49,49
1564710020,50,50
1564794968,49,49
1564880417,49,49
1564969207,48,48
1565054884,50,50
1565143451,50,50
1565228165,48,48
1565313366,50,50
1565402169,50,50
1565487133,49,49
1565572326,50,50
1565660890,50,50
1565745609,48,48
1565834653,49,49
1565919848,48,48
1566005051,48,48
1566093613,49,49
1566179050,48,48
1566264745,49,49
1566351147,48,48
1566436334,48,48
1566522497,48,48
1566612162,47,47
1566697209,48,48
1566782892,47,47
1566867847,49,49
1566957134,49,49
1567042089,48,48
1567128732,49,49
1567215134,49,49
1567300091,45,45
1567386252,49,49
1567474809,47,47
1567560248,50,50
1567646168,49,49
1567734969,50,50
1567821368,49,49
1567906807,45,45
1567992250,47,47
1568078186,47,47
1568167451,45,45
1568252652,48,48
1568338813,50,50
1568425940,48,48
1568512571,48,48
1568598248,49,49
1568684889,46,46
1568770087,49,49
1568855048,50,50
1568944330,50,50
1569030251,49,49
