DateTime,AddedIPs,RemovedIPs
1549511942,543,541
1549598342,527,521
1549684742,495,497
1549771142,495,495
1549857542,564,552
1549943943,490,570
1550030342,684,520
1550116742,685,507
1550203142,555,530
1550289542,624,547
1550375942,492,581
1550462342,558,572
1550548742,514,614
1550635142,433,672
1550721542,450,722
1550807943,665,500
1550894342,601,605
1550980743,540,538
1551067142,489,619
1551153542,475,606
1551239942,524,573
1551326342,692,504
1551412742,629,1294
1551499142,521,494
1551585542,572,441
1551671942,557,448
1551758343,1243,470
1551844742,698,498
1551931143,548,554
1552017542,553,551
1552103942,450,521
1552190343,508,638
1552276742,531,596
1552363142,506,483
1552449542,508,522
1552535942,475,520
1552622342,454,564
1552708742,565,489
1552795142,496,510
1552881543,370,650
1552967943,400,657
1553054342,476,742
1553140742,442,638
1553227142,516,506
1553313542,493,507
1553399942,381,473
1553486342,384,418
1553572742,401,414
1553659142,376,491
1553745542,494,489
1553831942,588,390
1553918342,693,409
1554004742,612,290
1554091142,617,506
1554177542,624,421
1554263942,534,442
1554350342,566,559
1554436742,467,507
1554523143,432,547
1554609542,389,545
1554695943,417,584
1554782343,373,605
1554868742,398,561
1554955142,351,625
1555041542,540,515
1555127942,493,1188
1555214342,403,564
1555300742,444,451
1555387142,787,406
1555473543,550,351
1555559942,518,326
1555646342,499,468
1555732743,423,483
1555819142,352,402
1555905542,349,477
1555991942,417,672
1556078342,670,588
1556164742,744,555
1556251142,1145,460
1556337542,604,410
1556423942,405,362
1556510342,490,413
1556596742,409,491
1556683142,381,678
1556769543,386,582
1556855942,448,607
1556942342,491,826
1557028742,393,475
1557115142,449,500
1557201542,495,496
1557287942,532,403
1557374342,498,340
1557460742,607,371
1557547142,588,351
1557633542,478,403
1557719942,388,454
1557806342,437,462
1557892742,421,425
1557979142,458,594
1558065542,410,588
1558151942,436,530
1558238342,334,467
1558324742,381,420
1558411142,439,426
1558497542,533,435
1558583943,365,537
1558670342,460,621
1558756742,467,653
1558843143,474,470
1558929542,434,706
1559015942,549,449
1559102342,558,558
1559188743,540,450
1559275142,687,314
1559361542,514,486
1559447942,438,440
1559534343,458,382
1559620743,442,470
1559707143,470,455
1559793543,597,540
1559879942,637,619
1559966343,576,672
1560052742,484,499
1560139142,462,578
1560225542,390,410
1560311942,512,432
1560398342,458,473
1560484743,420,499
1560571142,446,443
1560657542,547,453
1560743942,477,474
1560830342,527,412
1560916742,467,477
1561003142,539,408
1561089542,421,417
1561175942,435,501
1561262343,508,378
1561348742,498,424
1561435142,496,498
1561521542,538,531
1561607942,610,532
1561694343,550,438
1561780742,409,518
1561867143,522,587
1561953542,371,717
1562039942,462,490
1562126343,601,545
1562212742,460,519
1562299143,400,482
1562385542,402,425
1562471943,344,487
1562558342,322,434
1562644742,302,412
1562731142,381,481
1562817542,432,395
1562903943,333,447
1562990342,319,399
1563076742,379,408
1563163142,318,405
1563249542,274,346
1563335942,295,390
1563422342,339,412
1563508742,306,402
1563595143,485,411
1563681542,479,412
1563767943,398,422
1563854343,464,444
1563940742,334,375
1564027143,414,316
1564113543,412,380
1564199942,355,396
1564286342,442,416
1564372742,414,348
1564459142,247,535
1564545542,460,187
1564631943,383,434
1564718342,420,387
1564804742,332,431
1564891142,437,367
1564977542,314,330
1565063943,454,275
1565150342,354,343
1565236742,499,370
1565323142,430,267
1565409542,414,392
1565495942,297,421
1565582342,240,307
