DateTime,Entries,UniqueIPs
1549511942,12295,12295
1549598342,12301,12301
1549684742,12299,12299
1549771142,12299,12299
1549857542,12311,12311
1549943943,12231,12231
1550030342,12395,12395
1550116742,12573,12573
1550203142,12598,12598
1550289542,12675,12675
1550375942,12586,12586
1550462342,12572,12572
1550548742,12472,12472
1550635142,12233,12233
1550721542,11961,11961
1550807943,12126,12126
1550894342,12122,12122
1550980743,12124,12124
1551067142,11994,11994
1551153542,11863,11863
1551239942,11814,11814
1551326342,12002,12002
1551412742,11337,11337
1551499142,11364,11364
1551585542,11495,11495
1551671942,11604,11604
1551758343,12377,12377
1551844742,12577,12577
1551931143,12571,12571
1552017542,12573,12573
1552103942,12502,12502
1552190343,12372,12372
1552276742,12307,12307
1552363142,12330,12330
1552449542,12316,12316
1552535942,12271,12271
1552622342,12161,12161
1552708742,12237,12237
1552795142,12223,12223
1552881543,11943,11943
1552967943,11686,11686
1553054342,11420,11420
1553140742,11224,11224
1553227142,11234,11234
1553313542,11220,11220
1553399942,11128,11128
1553486342,11094,11094
1553572742,11081,11081
1553659142,10966,10966
1553745542,10971,10971
1553831942,11169,11169
1553918342,11453,11453
1554004742,11775,11775
1554091142,11886,11886
1554177542,12089,12089
1554263942,12181,12181
1554350342,12188,12188
1554436742,12148,12148
1554523143,12033,12033
1554609542,11877,11877
1554695943,11710,11710
1554782343,11478,11478
1554868742,11315,11315
1554955142,11041,11041
1555041542,11066,11066
1555127942,10371,10371
1555214342,10210,10210
1555300742,10203,10203
1555387142,10584,10584
1555473543,10783,10783
1555559942,10975,10975
1555646342,11006,11006
1555732743,10946,10946
1555819142,10896,10896
1555905542,10768,10768
1555991942,10513,10513
1556078342,10595,10595
1556164742,10784,10784
1556251142,11469,11469
1556337542,11663,11663
1556423942,11706,11706
1556510342,11783,11783
1556596742,11701,11701
1556683142,11404,11404
1556769543,11208,11208
1556855942,11049,11049
1556942342,10714,10714
1557028742,10632,10632
1557115142,10581,10581
1557201542,10580,10580
1557287942,10709,10709
1557374342,10867,10867
1557460742,11103,11103
1557547142,11340,11340
1557633542,11415,11415
1557719942,11349,11349
1557806342,11324,11324
1557892742,11320,11320
1557979142,11184,11184
1558065542,11006,11006
1558151942,10912,10912
1558238342,10779,10779
1558324742,10740,10740
1558411142,10753,10753
1558497542,10851,10851
1558583943,10679,10679
1558670342,10518,10518
1558756742,10332,10332
1558843143,10336,10336
1558929542,10064,10064
1559015942,10164,10164
1559102342,10164,10164
1559188743,10254,10254
1559275142,10627,10627
1559361542,10655,10655
1559447942,10653,10653
1559534343,10729,10729
1559620743,10701,10701
1559707143,10716,10716
1559793543,10773,10773
1559879942,10791,10791
1559966343,10695,10695
1560052742,10680,10680
1560139142,10564,10564
1560225542,10544,10544
1560311942,10624,10624
1560398342,10609,10609
1560484743,10530,10530
1560571142,10533,10533
1560657542,10627,10627
1560743942,10630,10630
1560830342,10745,10745
1560916742,10735,10735
1561003142,10866,10866
1561089542,10870,10870
1561175942,10804,10804
1561262343,10934,10934
1561348742,11008,11008
1561435142,11006,11006
1561521542,11013,11013
1561607942,11091,11091
1561694343,11203,11203
1561780742,11094,11094
1561867143,11029,11029
1561953542,10683,10683
1562039942,10655,10655
1562126343,10711,10711
1562212742,10652,10652
1562299143,10570,10570
1562385542,10547,10547
1562471943,10404,10404
1562558342,10292,10292
1562644742,10182,10182
1562731142,10082,10082
1562817542,10119,10119
1562903943,10005,10005
1562990342,9925,9925
1563076742,9896,9896
1563163142,9809,9809
1563249542,9737,9737
1563335942,9642,9642
1563422342,9569,9569
1563508742,9473,9473
1563595143,9547,9547
1563681542,9614,9614
1563767943,9590,9590
1563854343,9610,9610
1563940742,9569,9569
1564027143,9667,9667
1564113543,9699,9699
1564199942,9658,9658
1564286342,9684,9684
1564372742,9750,9750
1564459142,9462,9462
1564545542,9735,9735
1564631943,9684,9684
1564718342,9717,9717
1564804742,9618,9618
1564891142,9688,9688
1564977542,9672,9672
1565063943,9851,9851
1565150342,9862,9862
1565236742,9991,9991
1565323142,10154,10154
1565409542,10176,10176
1565495942,10052,10052
1565582342,9985,9985
1565668742,10075,10075
1565755142,10397,10397
1565841542,10643,10643
1565927942,10891,10891
1566014342,11085,11085
1566100742,11230,11230
1566187143,11265,11265
1566273542,11305,11305
1566359943,11397,11397
1566446342,11600,11600
1566532743,11806,11806
1566619142,11893,11893
1566705542,11862,11862
1566791942,11877,11877
1566878343,11960,11960
1566964742,11843,11843
1567051142,11805,11805
1567137542,11860,11860
1567223942,11914,11914
1567310342,12009,12009
1567396742,12003,12003
1567483142,11964,11964
1567569543,11912,11912
1567655942,11890,11890
1567742342,11880,11880
1567828743,12032,12032
1567915143,12035,12035
1568001543,11919,11919
1568087943,11743,11743
1568174342,11712,11712
1568260743,11581,11581
1568347142,11479,11479
1568433542,11290,11290
1568519942,11115,11115
1568606343,10974,10974
1568779142,10386,10386
1568865542,10205,10205
1568951942,9962,9962
1569038342,9685,9685
1569124742,9507,9507
1569211143,9387,9387
1569297542,9283,9283
1569383943,9273,9273
1569470342,9328,9328
1569556742,9209,9209
1569643142,9168,9168
1569729542,9041,9041
1569815942,8959,8959
1569902342,8855,8855
1569988743,8933,8933
1570075142,9001,9001
1570161542,9065,9065
1570247942,8993,8993
1570334342,8914,8914
1570420742,8844,8844
1570507142,8806,8806
1570593542,8913,8913
1570679942,9131,9131
1570766343,9331,9331
1570852742,9493,9493
1570939142,9451,9451
1571025542,9406,9406
1571111942,9393,9393
1571198342,9423,9423
1571284742,9420,9420
1571371142,9586,9586
1571457542,9765,9765
1571543942,9911,9911
1571630342,9954,9954
1571716742,9849,9849
1571803142,9801,9801
1571889542,9730,9730
1571975942,9754,9754
1572062342,9761,9761
1572148742,9772,9772
1572235142,9749,9749
1572321542,9754,9754
1572407942,9656,9656
1572494343,9648,9648
1572580742,9346,9346
1572667142,9355,9355
1572753542,9319,9319
1572839942,9319,9319
1572926342,9309,9309
1573012742,9390,9390
1573099142,9460,9460
1573185542,9443,9443
1573271942,9333,9333
1573358342,9173,9173
1573444742,9038,9038
1573531142,9087,9087
1573617542,9124,9124
1573703942,9057,9057
1573790342,9000,9000
1573876742,9071,9071
1573963142,9006,9006
1574049542,9079,9079
1574135942,9145,9145
1574222342,9262,9262
1574308742,9360,9360
1574395142,9416,9416
1574481542,9370,9370
1574567942,9320,9320
1574654342,9235,9235
1574740742,9190,9190
1574827142,9171,9171
1574913542,9202,9202
1574999942,9264,9264
1575086342,9414,9414
1575172742,9346,9346
1575259142,9363,9363
1575345542,9347,9347
1575431942,9396,9396
1575518342,9376,9376
1575604742,9364,9364
1575691142,9334,9334
1575777542,9334,9334
1575863942,9294,9294
1575950343,9264,9264
1576036743,9242,9242
1576123142,9306,9306
1576209543,9334,9334
1576295942,9391,9391
1576382342,9545,9545
1576468742,9655,9655
1576555142,9699,9699
1576641542,9808,9808
1576727942,9875,9875
1576814342,9964,9964
1576900742,9952,9952
1576987142,9967,9967
1577073542,9862,9862
1577159942,9702,9702
1577246342,9519,9519
1577332742,9361,9361
1577419142,9471,9471
1577505542,9503,9503
1577591942,9360,9360
1577678342,9379,9379
1577764742,9537,9537
1577851142,9468,9468
1577937542,9341,9341
1578023942,9252,9252
1578110343,9248,9248
1578196742,9355,9355
1578283142,9404,9404
1578369543,9332,9332
1578455942,9243,9243
1578542342,9258,9258
1578628742,9225,9225
1578715142,9198,9198
1578801542,9324,9324
1578887942,9410,9410
1578974342,9563,9563
1579060743,9658,9658
1579147142,9739,9739
1579233542,9677,9677
1579319943,9612,9612
1579406342,9474,9474
1579492742,9439,9439
1579579142,9524,9524
1579665542,9595,9595
1579751942,9693,9693
1579838342,9701,9701
1579924743,9619,9619
1580011142,9523,9523
1580097542,9347,9347
1580183942,9161,9161
1580270342,9103,9103
1580356743,9184,9184
1580443142,9249,9249
1580529542,9193,9193
1580615942,9101,9101
1580702342,9000,9000
1580788742,8903,8903
1580875142,8833,8833
1580961542,8807,8807
1581047942,8935,8935
1581134342,9079,9079
1581220742,9097,9097
1581307143,9094,9094
1581393542,8979,8979
1581479942,8742,8742
1581566342,8542,8542
1581652742,8384,8384
1581739142,8256,8256
1581825542,8069,8069
1581911942,7873,7873
1581998342,7724,7724
1582084742,7647,7647
1582171142,7599,7599
1582257542,7506,7506
1582343942,7483,7483
1582430343,7525,7525
1582516742,7530,7530
1582603142,7552,7552
1582689542,7554,7554
1582775942,7756,7756
1582862342,7832,7832
1582948743,7842,7842
1583035142,7588,7588
1583121542,7599,7599
1583207942,7702,7702
1583294342,7582,7582
1583380742,7453,7453
1583467142,7307,7307
1583553542,7451,7451
1583639942,7543,7543
1583726342,7511,7511
1583812742,7371,7371
1583899142,7405,7405
1583985542,7433,7433
1584071942,7506,7506
1584158342,7480,7480
1584244742,7438,7438
1584331142,7477,7477
1584417542,7524,7524
1584503942,7591,7591
1584590342,7613,7613
1584676742,7626,7626
1584763142,7568,7568
1584849542,7512,7512
1584935942,7448,7448
1585022342,7432,7432
1585108743,7396,7396
1585195142,7347,7347
1585281542,7313,7313
1585367943,7313,7313
1585454342,7352,7352
1585540743,7553,7553
1585627142,7644,7644
1585713542,7614,7614
1585799942,7565,7565
1585886342,7460,7460
1585972742,7502,7502
1586059143,7466,7466
1586145542,7471,7471
1586231942,7421,7421
1586318342,7375,7375
1586404742,7376,7376
1586491142,7447,7447
1586577542,7427,7427
1586663942,7389,7389
