DateTime,AddedIPs,RemovedIPs
1570553419,8,38
1570596585,38,9
1570639788,17,78
1570682989,7,0
1570726190,12,2
1570769391,6,42
1570812589,30,43
1570855787,2,27
1570898992,13,41
1570942187,2,0
1570985390,7,16
1571028588,2,0
1571071791,12,10
1571114995,2,0
1571158188,16,5
1571201388,2,12
1571244589,7,12
1571287789,6,20
1571353488,7,28
1571396702,1,1
1571439884,10,29
1571526286,5,3
1571569516,1,1
1571612689,4,10
1571699092,12,9
1571764787,9,7
1571851189,8,5
1571894391,0,8
1571937585,12,5
1571980789,1,2
1572023997,6,7
1572067191,6,0
1572110382,4,6
1572153586,16,3
1572196791,13,8
1572240890,4,2
1572284109,13,9
1572327294,5,1
1572370494,19,3
1572413694,5,0
1572456011,85,7
1572499200,28,0
1572542398,11,5
1572585601,3,2
1572628808,14,1
1572672004,11,4
1572715199,8,3
1572758400,4,0
1572801611,2,100
1572844799,3,0
1572888004,2,121
1572974401,1,66
1573017606,262,0
1573060804,4,86
1573103997,2,7
1573147197,27,4
1573190397,4,10
1573233599,6,7
1573276804,51,4
1573320008,7,12
1573363211,3,4
1573406410,8,5
1573449613,2,4
1573492802,15,17
1573579204,6,26
1573622404,2,20
1573665607,15,38
1573707910,434,2
1573751107,6,5
1573794310,3,2
1573837510,11,4
1573880712,4,388
1573923907,5,7
1574007603,7,11
1574050805,2,1
1574093999,2,9
1574137203,412,0
1574180406,13,4
1574223606,3,1
1574265915,2,6
1574308214,3,2
1574351430,3,10
1574394618,0,1
1574437815,15,7
1574481016,2,0
1574524217,6,6
1574567417,5,2
1574610618,6,4
1574653818,3,2
1574697018,6,8
1574740218,3,17
1574783416,9,7
1574826613,5,0
1574869814,2,8
1574913014,2,2
1574956211,6,9
1574999409,1,1
1575042609,4,11
1575085809,1,3
1575129010,12,5
1575172206,2,1
1575215403,8,7
1575258603,0,2
1575301801,11,12
1575344998,2,1
1575388202,11,2
1575431397,6,3
1575496213,32,12
1575539408,1,2
1575582609,13,10
1575625838,6,0
1575669008,9,10
1575712223,13,2
1575755411,2,20
1575798618,14,2
1575841811,2,5
1575885022,8,9
1575928209,2,1
1575971416,16,6
1576011915,10,1
1576055135,6,4
1576098313,21,33
1576141534,14,2
1576184713,15,13
1576227935,1,1
1576271119,12,11
1576314354,10,1
1576357518,11,10
1576400730,5,0
1576443918,14,7
1576487135,6,1
1576530319,13,9
1576573550,1,3
1576616719,14,9
1576659948,1,0
1576703117,8,7
1576746348,3,0
1576789519,15,10
1576832739,3,0
1576875919,10,14
1576962315,1,14
1577048708,4,8
1577135107,6,9
1577178328,1,1
1577221505,8,7
1577307907,12,8
1577351116,1,3
1577394301,5,20
1577480699,7,9
1577523916,0,1
1577567100,9,5
1577610313,1,0
1577653497,7,5
1577696714,1,0
1577739893,7,10
1577783112,0,5
1577826290,7,9
1577869516,1,0
1577912695,15,14
1577955908,0,1
1577999088,8,9
1578042301,0,6
1578085494,6,10
1578171886,9,13
1578215095,0,3
1578258282,8,13
1578301493,0,2
1578344679,13,10
1578387893,0,4
1578431078,12,11
1578474297,0,2
1578517480,9,18
1578560690,0,5
1578603875,8,31
1578647093,2,4
1578690276,12,14
1578733506,0,15
1578776683,4,11
1578819907,0,4
1578863085,9,13
1578906312,0,15
1578949490,11,17
1578992704,3,11
1579035886,12,33
1579079104,1,19
1579122286,15,14
1579165509,2,11
1579208691,8,99
1579251936,4,4
1579295097,8,29
1579338321,7,13
1579381503,24,6
1579424731,12,1
1579467918,68,10
1579511156,4,0
1579554322,30,12
1579597548,1,0
1579640729,23,1
1579683952,6,0
1579727129,8,14
1579770350,5,0
1579813523,9,22
1579856768,3,0
1579899938,7,5
1579943159,3,0
1579986341,8,8
1580029556,2,0
1580072734,7,61
1580115957,6,0
1580159137,6,12
1580202366,2,0
1580245544,9,10
1580288761,3,0
1580331948,6,2
1580375163,1,1
1580418348,8,10
1580461568,1,0
1580504756,37,5
1580591152,8,6
1580634384,1,0
1580677556,2,5
1580720775,4,0
1580763956,13,19
1580807167,6,0
1580850359,7,20
1580893582,2,0
1580936766,22,4
1580979986,1,0
1581023168,26,8
1581066367,1,1
1581109575,9,35
1581152815,5,0
1581195981,5,9
1581239205,4,4
1581282379,6,9
1581325614,3,0
1581368769,23,9
1581411988,4,0
1581455291,9,16
1581541564,29,14
1581584814,0,4
1581627966,13,32
1581671182,1,4
1581714366,6,22
1581757597,2,6
1581800767,18,15
1581843993,2,8
1581887163,11,10
1581930375,2,15
1581969950,15,28
1582013182,5,16
1582056341,2,12
1582099561,16,8
1582142743,21,37
1582185961,10,14
1582229143,8,36
1582272372,17,19
1582315545,16,30
1582358757,14,30
1582401938,25,31
1582445164,13,5
1582488336,9,6
1582531562,5,3
1582574743,26,8
1582617962,3,2
1582661137,23,12
1582704332,7,6
1582747535,16,14
1582790758,6,3
1582833936,12,9
1582877155,10,1
1582920341,12,9
1582963562,7,1
1583006741,20,4
1583049954,1,2
1583093138,33,5
1583136353,2,1
1583179532,11,9
1583222757,4,1
1583265932,6,9
1583309177,3,8
1583352333,14,8
1583395577,4,8
1583438760,7,5
1583481993,1,3
1583525130,4,5
1583568368,0,2
1583611520,10,14
1583654749,3,2
1583697914,5,34
1583741133,0,5
1583784308,10,10
1583827544,2,2
1583870706,13,5
1583913936,3,4
1583957107,17,9
1584000324,1,5
1584043506,5,7
1584086734,2,0
1584129904,6,8
1584173128,1,0
1584216297,5,16
1584259528,1,1
1584302692,4,2
1584345912,1,2
1584389092,7,14
1584432333,1,3
1584475489,53,4
1584518688,1,5
1584561893,7,12
1584605106,1,3
1584648291,9,7
1584691500,3,16
1584734686,16,17
1584777905,2,7
1584821086,6,7
1584864300,4,15
1584907481,4,8
1584950685,1,16
1584993881,8,23
1585037108,8,11
1585080274,1,54
1585119872,8,3
1585163072,7,25
1585206269,5,3
1585249469,12,10
1585292673,6,3
1585335866,19,12
1585379076,8,6
1585422270,23,16
1585465468,1,9
1585508670,4,52
1585551872,0,7
1585595067,14,6
1585638268,3,1
1585681474,6,8
1585724676,1,2
1585767874,8,5
1585811073,1,4
1585854282,9,1
1585897488,0,3
1585940683,3,12
1585983882,0,3
1586027085,6,3
1586070287,1,1
1586113491,10,5
1586156687,3,0
1586199886,9,11
1586243080,5,4
1586286281,5,2
1586329483,4,1
1586372684,6,47
1586415884,0,1
1586459088,15,11
1586502287,1,3
1586545487,13,22
1586588685,1,0
1586631887,19,13
1586675092,4,2
1586718291,9,8
1586761488,3,1
1586804688,22,12
1586847894,2,1
1586891089,11,5
1586934291,1,1
1586977492,6,177
1587020691,3,0
1587063893,6,176
1587107095,1,1
1587150291,9,65
1587193494,3,2
1587236690,10,9
1587279890,1,3
1587323097,4,2
1587366297,2,4
1587409506,4,6
1587452698,1,6
1587495897,20,6
1587539095,9,1
1587582292,14,22
1587625496,8,7
1587668691,13,4
1587711895,3,7
1587755094,8,9
1587798298,6,5
1587841494,7,8
1587884710,8,7
1587927902,7,11
1587971114,10,8
1588007107,6,12
1588050299,1,3
1588093507,9,11
1588136707,6,0
1588179907,7,9
1588223110,3,2
1588266300,11,8
1588309505,2,0
1588352709,4,2
1588395902,3,3
1588439111,12,44
1588482302,3,0
1588525500,15,6
1588568705,2,1
1588611911,0,4
1588698306,22,9
1588741501,0,3
1588784697,42,3
1588827909,0,3
1588871111,9,10
1588914300,0,4
1588957500,7,4
1589043896,5,8
1589130298,7,16
1589173497,0,1
1589216705,24,3
1589259899,0,4
1589303094,8,22
1589346298,8,3
1589389496,14,7
1589432699,1,2
1589475896,46,10
1589519092,0,1
1589562309,16,11
1589605492,1,3
1589648691,17,6
1589691894,1,1
1589735091,8,9
1589778292,0,3
1589821487,27,15
1589864691,0,2
1589907886,13,8
1589951083,0,3
1589994289,14,18
1590037484,3,1
1590080690,20,56
1590123895,2,10
1590167085,10,28
1590210296,2,9
1590253488,16,20
1590296689,3,5
1590339891,14,7
1590383089,5,3
1590426294,10,13
1590469494,3,4
1590512692,56,19
1590555892,8,8
1590599093,24,18
1590642297,9,0
1590685495,14,23
1590728691,6,5
1590771889,17,15
1590815090,15,1
1590858285,21,8
1590901485,7,1
1590944688,3,5
1590987887,6,3
1591031092,4,63
1591074300,0,3
1591117494,9,39
1591160693,4,2
1591200302,135,13
1591243503,6,0
1591286700,13,13
1591329907,3,0
1591373102,13,7
1591416308,2,0
1591459496,10,16
1591502696,3,0
1591545903,10,0
1591589114,1,1
1591632303,17,0
1591675503,4,0
1591718705,12,1
1591761905,1,0
1591805123,5,2
1591848310,3,1
1591891508,7,35
1591934723,9,2
1591977912,10,10
1592021113,2,6
1592064327,7,7
1592107526,3,0
1592150714,8,5
1592190325,2,0
1592233509,15,10
1592319924,14,10
1592363124,3,0
1592406319,8,6
1592492717,17,11
1592535925,2,0
1592579121,21,5
1592622337,0,3
1592665525,5,8
1592708732,1,2
1592751924,2,4
1592795122,2,3
1592838318,8,14
1592881528,3,3
1592924725,11,19
1592967920,2,4
