DateTime,Entries,UniqueIPs
1570553419,1061,1061
1570596585,1090,1090
1570639788,1029,1029
1570682989,1036,1036
1570726190,1046,1046
1570769391,1010,1010
1570812589,997,997
1570855787,972,972
1570898992,944,944
1570942187,946,946
1570985390,937,937
1571028588,939,939
1571071791,941,941
1571114995,943,943
1571158188,954,954
1571201388,944,944
1571244589,939,939
1571287789,925,925
1571353488,904,904
1571396702,904,904
1571439884,885,885
1571526286,887,887
1571569516,887,887
1571612689,881,881
1571699092,884,884
1571764787,886,886
1571851189,889,889
1571894391,881,881
1571937585,888,888
1571980789,887,887
1572023997,886,886
1572067191,892,892
1572110382,890,890
1572153586,903,903
1572196791,908,908
1572240890,910,910
1572284109,914,914
1572327294,918,918
1572370494,934,934
1572413694,939,939
1572456011,1017,1017
1572499200,1045,1045
1572542398,1051,1051
1572585601,1052,1052
1572628808,1065,1065
1572672004,1072,1072
1572715199,1077,1077
1572758400,1081,1081
1572801611,983,983
1572844799,986,986
1572888004,867,867
1572974401,802,802
1573017606,1064,1064
1573060804,982,982
1573103997,977,977
1573147197,1000,1000
1573190397,994,994
1573233599,993,993
1573276804,1040,1040
1573320008,1035,1035
1573363211,1034,1034
1573406410,1037,1037
1573449613,1035,1035
1573492802,1033,1033
1573579204,1013,1013
1573622404,995,995
1573665607,972,972
1573707910,1404,1404
1573751107,1405,1405
1573794310,1406,1406
1573837510,1413,1413
1573880712,1029,1029
1573923907,1027,1027
1574007603,1023,1023
1574050805,1024,1024
1574093999,1017,1017
1574137203,1429,1429
1574180406,1438,1438
1574223606,1440,1440
1574265915,1436,1436
1574308214,1437,1437
1574351430,1430,1430
1574394618,1429,1429
1574437815,1437,1437
1574481016,1439,1439
1574524217,1439,1439
1574567417,1442,1442
1574610618,1444,1444
1574653818,1445,1445
1574697018,1443,1443
1574740218,1429,1429
1574783416,1431,1431
1574826613,1436,1436
1574869814,1430,1430
1574913014,1430,1430
1574956211,1427,1427
1574999409,1427,1427
1575042609,1420,1420
1575085809,1418,1418
1575129010,1425,1425
1575172206,1426,1426
1575215403,1427,1427
1575258603,1425,1425
1575301801,1424,1424
1575344998,1425,1425
1575388202,1434,1434
1575431397,1437,1437
1575496213,1457,1457
1575539408,1456,1456
1575582609,1459,1459
1575625838,1465,1465
1575669008,1464,1464
1575712223,1475,1475
1575755411,1457,1457
1575798618,1469,1469
1575841811,1466,1466
1575885022,1465,1465
1575928209,1466,1466
1575971416,1476,1476
1576011915,1485,1485
1576055135,1487,1487
1576098313,1475,1475
1576141534,1487,1487
1576184713,1489,1489
1576227935,1489,1489
1576271119,1490,1490
1576314354,1499,1499
1576357518,1500,1500
1576400730,1505,1505
