DateTime,AddedIPs,RemovedIPs
1592565121,80,80
1592565721,80,80
1592566321,79,79
1592566921,80,80
1592568121,78,78
1592568721,64,64
1592569321,28,28
1592570521,22,22
1592571122,79,79
1592571722,80,80
1592572322,80,80
1592572921,80,80
1592573521,80,80
1592574121,79,79
1592574721,75,75
1592575321,80,80
1592575922,80,80
1592577121,80,80
1592577721,80,80
1592578321,79,79
1592578922,79,79
1592579521,80,80
1592580721,80,80
1592581321,80,80
1592581922,80,80
1592583122,75,75
1592583721,79,79
1592584321,80,80
1592584921,80,80
1592586121,79,79
1592587322,80,80
1592587921,80,80
1592588521,80,80
1592589121,80,80
1592589722,80,80
1592590321,80,80
1592590921,27,27
1592592122,18,18
1592592721,16,16
1592593322,79,79
1592594521,80,80
1592595122,80,80
1592596321,80,80
1592597521,79,79
1592598122,11,11
1592598721,80,80
1592599322,80,80
1592600521,79,79
1592601721,80,80
1592602922,80,80
1592603521,62,62
1592604121,40,40
1592604722,79,79
1592605921,77,77
1592606521,80,80
1592607722,80,80
1592608921,80,80
1592609521,80,80
1592610721,80,80
1592611322,79,79
1592612521,80,80
1592613721,80,80
1592614321,65,65
1592614922,65,65
1592615521,56,56
1592616721,80,80
1592617321,80,80
1592617921,80,80
1592618521,80,80
1592619721,80,80
1592620321,80,80
1592620921,80,80
1592622121,77,77
1592623321,79,79
1592624521,79,79
1592625122,80,80
1592626921,79,79
1592628121,80,80
1592629322,80,80
1592630522,80,80
1592631721,79,79
1592632922,80,80
1592633521,80,80
1592634121,80,80
1592634722,80,80
1592635922,80,80
1592636522,80,80
1592637721,75,75
1592638922,80,80
1592639522,13,13
1592640122,17,17
1592641321,27,27
1592642521,62,62
1592643121,68,68
1592643721,62,62
1592644322,80,80
1592644921,80,80
1592645521,14,14
1592646121,13,13
1592646722,15,15
1592647321,10,10
1592647921,7,7
1592648521,78,78
1592649121,80,80
1592649721,80,80
1592650321,80,80
1592650921,80,80
1592651522,80,80
1592652121,80,80
1592652722,80,80
1592653322,80,80
1592653921,80,80
1592654521,80,80
1592655721,80,80
1592656322,61,61
1592656921,77,77
1592657521,80,80
1592658121,80,80
1592659321,77,77
1592659921,78,78
1592660521,80,80
1592661721,80,80
1592662921,80,80
1592664121,76,76
1592665322,76,76
1592665921,80,80
1592666521,80,80
1592667122,80,80
1592667721,80,80
1592668321,80,80
1592668921,80,80
1592670122,80,80
1592670722,80,80
1592671321,80,80
1592671921,80,80
1592673121,80,80
1592674322,78,78
1592674922,80,80
1592676122,80,80
1592677321,79,79
1592677922,79,79
1592678522,18,18
1592679121,80,80
1592680321,80,80
1592680922,80,80
1592681521,80,80
1592682121,80,80
1592682721,80,80
1592683321,80,80
1592684521,80,80
1592685121,4,4
1592685722,80,80
1592686322,80,80
1592686921,80,80
1592688121,80,80
1592688721,74,74
1592689322,80,80
1592690522,80,80
1592691721,75,75
1592692921,80,80
1592694121,80,80
1592694722,80,80
1592695921,80,80
1592696521,60,60
1592697121,79,79
1592697721,79,79
1592698922,80,80
1592700121,80,80
1592700722,80,80
1592701321,80,80
1592701921,80,80
1592703121,80,80
1592703722,80,80
1592704921,80,80
1592706121,80,80
1592706326,80,80
1592706721,80,80
1592707321,80,80
1592707921,80,80
1592709121,80,80
1592709722,80,80
1592710921,73,73
1592711521,78,78
1592712122,80,80
1592713321,79,79
1592714521,78,78
1592715721,78,78
1592716921,79,79
1592717522,78,78
1592718121,80,80
1592718721,80,80
1592719321,80,80
1592720521,78,78
1592721121,80,80
1592721721,80,80
1592722922,80,80
1592724121,80,80
1592725321,80,80
1592726521,80,80
1592727721,80,80
1592728299,59,59
1592729031,80,80
1592729521,80,80
1592730122,80,80
1592730279,80,80
1592731321,80,80
1592732521,80,80
1592733079,50,50
1592734922,75,75
1592735522,54,54
1592736121,36,36
1592736721,74,74
1592737921,80,80
1592738521,80,80
1592739063,80,80
1592739722,80,80
1592740321,76,76
1592740921,15,15
1592741522,80,80
1592742121,80,80
1592742721,80,80
1592743921,80,80
1592745122,80,80
1592745722,80,80
1592746921,80,80
1592748121,79,79
1592749321,80,80
1592750521,80,80
1592751721,78,78
1592752921,80,80
1592753521,80,80
1592754121,80,80
1592755321,80,80
1592756521,80,80
1592757121,79,79
1592757722,80,80
1592758921,78,78
1592760122,80,80
1592760721,80,80
1592761321,66,66
1592761921,80,80
1592762522,80,80
1592763121,80,80
