DateTime,AddedIPs,RemovedIPs
1592499722,15,0
1592500921,30,0
1592501521,5,1
1592502121,15,0
1592503322,9,2
1592504521,13,0
1592505721,6,0
1592506921,16,1
1592508121,2,5
1592509321,3,0
1592509921,4,0
1592511121,6,3
1592512321,7,0
1592512921,0,3
1592513521,1,0
1592514721,4,3
1592515321,1,0
1592516521,1,1
1592517721,1,3
1592518921,3,0
1592519521,2,0
1592520121,0,3
1592521321,5,0
1592521921,8,0
1592522521,3,36
1592523121,4,0
1592524922,4,3
1592526121,2,1
1592526721,4,3
1592527321,7,0
1592528521,0,1
1592529721,5,2
1592530921,11,2
1592531521,0,2
1592533321,4,1
1592534521,7,1
1592535721,1,3
1592536921,0,4
1592538122,1,0
1592539321,1,1
1592540521,2,6
1592541721,0,4
1592542921,2,0
1592544121,7,0
1592545321,1,2
1592545922,0,4
1592546521,2,32
1592547722,2,0
1592548921,0,14
1592550121,4,2
1592550721,0,1
1592551321,1,2
1592552521,1,1
1592554322,5,1
1592555521,1,0
1592556122,1,1
1592556721,3,0
1592557321,3,1
1592557921,2,0
1592559121,1,1
1592560321,0,14
1592560922,1,1
1592561521,2,3
1592562122,1,0
1592563321,2,0
1592563921,2,2
1592564521,0,2
1592565121,4,0
1592565721,0,3
1592566921,0,1
1592567522,0,1
1592568721,5,3
1592569321,4,0
1592570521,4,1
1592571721,4,0
1592572921,3,0
1592573521,0,1
1592574121,26,2
1592574721,2,0
1592575922,2,1
1592577121,1,2
1592578321,1,1
1592578922,1,0
1592580721,3,2
1592581321,1,2
1592582521,1,0
1592583122,1,0
1592583721,6,3
1592584321,2,2
1592584921,1,31
1592585522,0,9
1592586121,2,3
1592587322,1,0
1592588521,5,4
1592589121,1,0
1592589722,3,1
1592590921,1,1
1592592122,5,0
1592593322,3,2
1592594521,11,2
1592595122,3,1
1592596321,5,0
1592597521,0,2
1592598122,2,0
1592598721,9,1
1592599321,2,0
1592600521,1,3
1592601721,7,1
1592602321,1,1
1592602922,0,1
1592603521,1,0
1592604121,0,1
1592605321,4,3
1592606521,4,4
1592607722,4,0
1592608321,5,26
1592608921,0,8
1592610121,2,2
1592611322,3,0
1592611921,4,7
1592612521,1,0
1592613721,5,1
1592614321,3,0
1592616122,2,0
1592616721,3,0
1592617321,5,0
1592618521,1,0
1592619721,2,2
1592622121,2,1
1592623321,0,1
1592624521,3,1
1592625721,1,1
1592626921,3,2
1592629322,1,1
1592630522,1,2
1592631122,1,0
1592632321,0,1
1592633521,1,2
1592634121,2,1
1592635321,0,1
1592636522,3,4
1592637721,1,8
1592638922,0,6
1592640721,0,7
1592642521,1,2
1592643721,2,5
1592644322,1,4
1592644921,1,2
1592645521,0,4
1592646121,1,0
1592646721,1,2
1592647321,0,1
1592647921,1,0
1592648521,1,0
1592649721,1,0
1592650321,0,1
1592651522,7,1
1592653322,1,0
1592655121,0,1
1592656322,1,0
1592656921,2,1
1592658721,1,0
1592659921,0,1
1592662921,1,1
1592664121,1,1
1592665322,4,1
1592665921,1,0
1592666521,28,1
1592667122,0,1
1592668921,0,1
1592670122,1,1
1592670722,3,0
1592673721,0,2
1592674322,1,3
1592675521,1,0
1592676721,0,1
1592677921,19,0
1592678522,0,1
1592679121,1,9
1592679721,0,1
1592680321,1,0
1592680922,0,3
1592682121,0,4
1592682721,0,1
1592683921,1,0
1592685121,2,2
1592686921,0,1
1592687521,0,2
1592688121,1,0
1592690522,3,4
1592691721,0,2
1592692921,1,1
1592694121,3,0
1592695322,3,0
1592695921,2,0
1592697121,1,1
1592697721,2,24
1592698922,3,0
1592700121,2,3
1592701321,2,0
1592702521,0,3
1592703121,0,1
1592703722,47,0
1592706121,1,0
1592707321,1,1
1592707921,1,3
1592708521,5,1
1592709121,2,0
1592709722,3,2
1592710921,2,0
1592711521,0,1
1592712122,1,0
1592712721,2,0
1592714521,1,4
1592715721,0,1
1592716921,1,0
1592717522,1,1
1592718121,1,1
1592718721,1,0
1592719921,0,1
1592720521,1,0
1592721121,1,1
1592722321,0,4
1592722922,1,0
1592724121,0,1
1592726521,0,2
1592727721,0,3
1592728921,1,0
1592729521,3,3
1592730721,1,0
1592731321,49,0
1592732521,1,3
1592733121,1,0
1592733721,0,3
1592734922,1,1
1592735522,1,0
1592736121,0,1
1592737921,0,1
1592738521,1,2
1592739063,2,1
1592739722,1,0
1592740321,0,3
1592741521,1,0
1592742121,0,1
1592743921,3,4
1592744521,1,0
1592745722,0,2
1592746921,27,1
1592748121,0,2
1592749321,0,4
1592751122,0,2
1592751721,0,3
1592752921,1,2
1592753521,3,0
1592754121,0,1
1592755321,2,2
1592756521,2,1
1592758322,4,3
1592760122,0,4
1592761321,2,0
1592761921,0,4
1592763121,0,1
1592763721,0,1
1592765521,3,1
1592766721,0,1
1592768521,1,0
1592769121,0,1
1592769721,1,0
1592770921,2,4
1592771521,0,4
1592772721,2,0
1592773322,0,3
1592774521,3,1
1592775721,0,2
1592776921,0,6
1592777522,1,3
1592778721,2,0
1592779922,0,4
1592781121,1,4
1592782921,1,0
1592784121,0,2
1592785321,3,5
1592786521,2,2
1592787121,0,2
1592787721,1,1
1592788921,4,4
1592790491,1,3
1592791093,1,0
