DateTime,AddedIPs,RemovedIPs
1550016016,2044,2376
1550102416,1510,2280
1550188816,2000,1505
1550275216,1591,1423
1550361615,1746,1429
1550448016,1592,2689
1550534416,1616,2267
1550620816,1329,1816
1550707215,1693,2091
1550793616,1655,1666
1550880016,1830,1534
1550966416,1305,1473
1551052816,1243,1940
1551139216,1848,2257
1551225617,1689,1665
1551312018,1334,1749
1551398416,2046,1637
1551484817,1603,1794
1551571217,1867,2066
1551657616,1321,2047
1551744017,2066,1896
1551830418,2016,2199
1551916817,1987,1982
1552003217,2038,1555
1552089618,1484,1180
1552176017,1670,1054
1552262416,1605,1357
1552348816,2164,1367
1552435216,1785,1544
1552521617,1865,2120
1552608017,1885,1471
1552694416,1675,1545
1552780817,1153,1857
1552867217,1468,2220
1552953617,1818,2572
1553040017,1657,1912
1553126416,1714,1771
1553212816,1380,1276
1553299216,1712,1290
1553385618,1639,1081
1553472018,1711,1360
1553558417,1752,1057
1553644818,1921,1348
1553731217,1485,1894
1553817616,1869,1725
1553904016,1698,1865
1553990417,1237,1098
1554076817,779,1594
1554163216,1513,1448
1554249616,1288,1920
1554336017,1208,1968
1554422416,1363,2381
1554508817,1258,2310
1554595215,1197,1709
1554681616,1014,1686
1554768015,1373,1437
1554854416,1408,1736
1554940817,1379,1651
1555027217,1417,1973
1555113616,1257,1983
1555200016,1550,1803
1555286415,1056,1974
1555372817,1462,2229
1555459217,1380,2120
1555545616,1394,2533
1555632016,1579,2154
1555718416,1182,1904
1555804816,1253,2197
1555891216,932,2188
1555977616,1206,2173
1556064017,1923,2522
1556150418,1569,2601
1556236818,1519,2505
1556323216,1425,2155
1556409618,1106,2432
1556496017,988,3049
1556582416,1232,2818
1556668817,1291,1737
1556755217,1462,2137
1556841618,1518,853
1556928017,1596,1366
1557014417,1322,1271
1557100817,1326,2337
1557187216,1583,2000
1557273617,1334,2251
1557360016,1464,2318
1557446417,1473,1860
1557532818,1430,2300
1557619217,1243,1899
1557702016,945,1838
1557784816,1461,1788
1557871216,1729,1371
1557954015,1358,1957
1558040415,1419,1724
1558126817,1249,1555
1558213216,1219,1847
1558299615,917,1783
1558386015,1386,1585
1558472416,1758,1882
1558558815,1452,1713
1558645216,1392,1660
1558731616,1212,1267
1558818015,1222,1216
1558904416,1087,1936
1558990815,1958,1751
1559077216,1675,1390
1559163616,1532,1966
1559250015,1446,1799
1559336415,1482,1853
1559422815,1277,1584
1559509216,1007,2044
1559595615,1255,2096
1559682015,1289,2124
1559768414,1181,2133
1559854816,1306,1847
1559937616,1427,1513
1560024015,1322,1706
1560110415,1059,2265
1560193215,1295,1785
1560276016,1443,1800
1560362415,1289,2105
