DateTime,AddedIPs,RemovedIPs
1587550013,1,0
1587559872,4,0
1587567451,1,0
1587590421,1,0
1587613378,1,0
1587620527,1,0
1587631998,1,0
1587638140,2,0
1587645711,1,327
1587653413,2,0
1587670475,1,0
1587692662,2,0
1587700216,1,0
1587707735,1,0
1587715025,1,0
1587740387,1,0
1587744081,2,0
1587769012,37,0
1587772744,4,0
1587779063,1,0
1587786700,2,0
1587794193,1,0
1587809203,1,0
1587824550,3,0
1587847226,2,0
1587862395,1,0
1587887407,1,0
1587894873,2,0
1587909775,1,0
1587913485,1,0
1587917206,1,0
1587935733,1,0
1587939415,1,0
1587963994,1,0
1587967709,1,0
1587975288,1,0
1587978987,1,0
1587996063,1,0
1588003506,1,0
1588021126,1,0
1588024797,1,0
1588035913,1,0
1588045912,6,0
1588053584,11,0
1588057433,1,0
1588071159,2,0
1588082590,1,0
1588088757,4,0
1588092516,1,0
1588096540,2,0
1588104103,1,0
1588111774,4,0
1588129249,1,0
1588136952,2,0
1588146775,1,0
1588154287,1,0
1588165501,1,0
1588176691,1,0
1588197449,1,0
1588219629,2,0
1588230210,3,0
1588240651,1,0
1588248114,1,0
1588255741,6,0
1588267277,2,0
1588274799,5,0
1588278572,1,0
1588290904,1,0
1588306059,6,0
1588320955,2,0
1588330927,1,0
1588338495,2,0
1588348517,1,0
1588356266,1,0
1588360113,1,0
1588363553,1,0
1588369461,1,0
1588377082,2,0
1588384956,2,0
1588392421,1,0
1588403842,1,0
1588433103,1,0
1588440974,1,0
1588448588,1,0
1588464562,2,0
1588472497,1,0
1588478410,1,0
1588486045,1,0
1588493673,1,0
1588501789,3,0
1588508799,1,0
1588524302,1,0
1588539493,1,0
1588543450,1,0
1588557276,1,0
1588572704,9,0
1588584322,1,0
1588588125,2,0
1588591976,1,0
1588607365,1,0
1588615339,3,0
1588619356,1,0
1588625592,1,0
1588633302,1,0
1588653428,2,0
1588661269,1,0
1588665135,1,0
1588668985,1,0
1588676782,1,0
1588694732,1,0
1588710283,1,0
1588720413,3,0
1588728185,2,0
1588748951,1,0
1588753069,1,0
1588761158,2,0
1588769930,5,0
1588804147,1,0
1588808365,1,0
1588817088,1,0
1588825172,1,0
1588833324,2,0
1588837571,1,0
1588843622,1,0
1588851591,1,0
1588859453,2,0
1588867332,2,0
1588879162,1,0
1588887151,0,167
1588891089,1,0
1588902943,1,0
1588906889,1,0
1588922663,1,0
1588932949,1,0
1588959095,2,0
1588966978,3,0
1588974852,1,0
1588978778,1,0
1588982782,3,0
1588986711,1,0
1588994394,1,0
1588998330,1,0
1589025245,4,0
1589033102,1,0
1589045221,1,0
1589057062,2,0
1589081225,1,0
1589085199,1,0
1589117371,1,0
1589123160,6,0
1589137398,1,0
1589145297,2,0
1589153474,2,0
1589169437,1,0
1589187627,1,0
1589195778,1,0
1589203841,1,0
1589215904,1,0
1589219824,2,0
1589227822,2,0
1589243626,1,0
1589251473,2,0
1589259280,1,0
1589267103,3,0
1589285529,2,0
1589293418,2,0
1589343109,2,0
1589350872,1,0
1589370299,1,0
1589374283,1,0
1589386004,1,0
1589389928,1,0
1589409086,1,0
1589416157,1,0
1589420051,1,0
1589435144,1,0
1589450568,1,0
1589454115,1,0
1589458150,1,0
1589468354,1,0
1589476122,1,0
1589483853,1,0
1589491549,1,0
1589499233,1,0
1589506970,2,0
1589514945,2,0
1589518800,1,0
1589533751,1,0
1589537602,1,0
1589540872,1,0
1589547138,1,0
1589555077,1,0
1589565200,3,0
1589569054,1,0
1589573176,1,0
1589588687,2,0
1589596333,1,0
1589611816,1,0
1589619692,1,0
1589634937,2,0
1589650211,1,0
1589660235,1,0
1589703358,2,0
1589726296,2,46
1589730129,0,65
1589749369,1,0
1589756518,2,0
1589760291,2,0
1589766475,2,0
1589774061,1,0
1589788672,1,0
1589792480,1,0
1589800069,3,0
1589810004,1,0
1589813788,2,0
1589817913,2,0
1589825505,1,0
1589839147,1,0
1589842924,1,0
1589860888,3,0
1589870852,1,0
1589878339,1,0
1589885414,2,0
1589900523,3,0
1589908269,1,0
1589919250,2,0
1589923047,3,0
1589930793,1,0
1589940879,1,0
1589948757,2,0
1589952676,1,0
1589956606,2,0
1589987056,1,0
1589994826,2,0
1589998572,1,0
1590001895,2,0
1590008056,3,0
1590026644,1,0
1590030403,1,0
1590034038,1,0
1590041088,1,0
1590062227,1,0
1590069570,1,0
1590084224,1,0
1590091827,3,0
1590099295,1,0
1590109055,3,0
1590116383,3,0
1590122872,7,0
1590128968,1,0
1590144639,1,0
1590150943,30,0
1590154490,3,0
1590157828,2,0
