DateTime,AddedIPs,RemovedIPs
1549472652,71,0
1549560728,173,0
1549648589,313,0
1549736429,36,0
1549824493,736,0
1549897957,24,1
1549987266,35,1
1550075767,47,0
1550171051,44,0
1550244491,35,0
1550332567,36,0
1550420558,38,0
1550508509,58,0
1550596354,42,0
1550684914,232,3
1550772989,903,0
1550860828,51,6
1550948647,34,0
1551021850,63,0
1551109684,31,0
1551197768,52,1
1551285608,8035,0
1551373954,43,2
1551462005,45,0
1551550363,62,1
1551638171,65,0
1551726518,61,0
1551799709,61,1
1551887536,56,0
1551975378,1317334,0
1551990029,7,1317106
1552004655,3,602
1552092488,82,0
1552180332,50,1
1552268172,36,0
1552341369,29,0
1552436670,42,0
1552524494,64,0
1552612573,85,1
1552686013,690,3
1552773854,40,0
1552861953,77,0
1552949787,369,7
1553037850,478,0
1553125935,144,0
1553214272,213,2
1553302331,142,1
1553390426,103,0
1553478521,67,0
1553559608,151,0
1553647450,100,2
1553735286,160,0
1553823132,78,1
1553896879,727,2
1553984899,64,0
1554074441,26,0
1554162497,201,0
1554243377,46,3
1554331213,48,0
1554419078,51,0
1554507131,40,0
1554602649,98,0
1554675851,52,0
1554764923,58,0
1554852733,69,1
1555029162,92,3
1555116966,69,0
1555204805,32,1
1555292651,44,0
1555366117,54,1
1555455162,79,1
1555535772,48,1466
1555623630,51,1
1555712190,42,0
1555801001,45,0
1555889054,55,0
1555977879,41,0
1556066165,65,1
1556139622,64,1
1556227805,66,0
1556315774,413,0
1556403631,344,6
1556491473,281,0
1556579555,133,0
1556668380,258,2
1556756174,284,0
1556844018,265,1
1556917226,233,1
1557005056,241,0
1557093161,152,1
1557181208,184,0
1557269534,166,0
1557357380,136,2
1557445452,35,2
1557526354,106,1
1557614407,176,0
1557695309,92,1
1557783155,91,8
1557878656,82,1
1557966731,122,2
1558054866,122,0
1558128455,111,0
1558216111,111,0
1558304176,106,0
1558392273,144,0
1558480122,156,1
1558568652,54,1
1558656487,105,1
1558744590,96,21957
1558832418,22040,0
1558905610,99,0
1558993693,47,1
1559081793,53,1
1559169608,74,0
1559257717,65,0
1559433640,309,0
1559521722,118,2
1559609557,73,0
1559682764,54,0
1559770808,57,2
1559858677,44,5
1559946490,45,0
1560034570,33,1
1560122908,43,0
1560210971,0,40621
1560298816,40754,0
1560386651,87,1
1560474981,127,0
1560548176,75,1
1560636251,78,0
1560724094,50,1
1560811954,85,0
1560987860,220,0
1561075929,58,0
1561163791,46,0
1561251627,68,4
1561339456,54,0
1561412674,133,1
