DateTime,AddedIPs,RemovedIPs
1591155182,17,16
1591162381,16,19
1591165981,14,12
1591169581,19,20
1591176782,26,27
1591180381,20,19
1591183982,14,15
1591191182,21,25
1591194781,16,15
1591198382,8,8
1591201981,19,19
1591205581,9,10
1591209182,13,13
1591212781,19,19
1591216382,19,18
1591219982,11,12
1591223582,15,12
1591227182,12,10
1591230782,16,17
1591234382,10,8
1591237981,6,7
1591241582,11,12
1591245181,12,12
1591248781,17,16
1591252381,20,20
1591259581,20,24
1591263182,17,18
1591266782,12,9
1591270381,19,17
1591273982,20,20
1591277581,14,14
1591281182,13,14
1591284782,15,13
1591288381,13,13
1591291981,9,13
1591295582,11,13
1591299181,19,16
1591302782,24,21
1591306381,10,13
1591309982,13,13
1591313581,14,8
1591317181,12,17
1591320782,9,13
1591324382,15,14
1591327982,10,7
1591331582,16,17
1591335181,18,17
1591338781,10,15
1591342382,17,15
1591345981,16,17
1591349581,11,9
1591353181,16,15
1591356782,7,10
1591360382,15,13
1591363981,12,14
1591367581,14,14
1591371181,20,18
1591374781,18,17
1591378382,16,16
1591381982,17,20
1591385581,15,14
1591389181,15,14
1591392781,13,13
1591396382,21,20
1591399982,15,15
1591403581,12,14
1591407182,6,6
1591410782,14,12
1591414382,8,9
1591417981,16,13
1591421581,16,20
1591425182,16,16
1591428782,14,14
1591432381,20,16
1591435981,11,13
1591439581,7,9
1591443181,14,12
1591446781,17,15
1591450381,15,21
1591453982,13,13
1591457581,12,9
1591461182,16,12
1591464781,7,8
1591468381,17,18
1591471982,16,19
1591475581,11,12
1591479181,17,16
1591482781,11,10
1591486381,12,13
1591489981,18,15
1591493582,9,12
1591497181,14,11
1591500781,18,19
1591504381,15,15
1591507982,14,14
1591511581,15,14
1591515182,14,17
1591518781,15,13
1591522381,13,17
1591525984,11,10
1591529581,15,11
1591533181,16,18
1591536781,15,17
1591540381,18,15
1591543981,19,19
1591547581,16,17
1591551182,22,21
1591554781,9,11
1591558382,16,12
1591561981,13,14
1591565581,13,16
1591569182,13,13
1591572782,15,12
1591576381,22,21
1591579981,13,12
1591583581,13,13
1591587181,11,13
1591590781,16,17
1591594381,13,16
1591597981,11,11
1591601581,14,13
1591605181,17,17
1591608781,16,14
1591615982,16,17
1591619581,19,17
1591623182,8,8
1591626781,9,12
1591630382,18,20
1591633982,18,13
1591637581,15,17
1591641182,14,14
1591644783,15,14
1591648382,13,16
1591651981,10,8
1591655581,14,12
1591659182,16,16
1591662781,14,16
1591666381,15,14
1591669981,16,15
1591673581,19,20
1591677181,13,13
1591680782,21,19
1591684381,13,13
1591687981,14,14
1591691581,16,16
1591695182,13,16
1591698781,11,13
1591702382,13,13
1591705981,10,10
1591709581,10,10
1591713181,12,11
1591716781,11,13
1591720381,12,10
1591723982,17,18
1591727581,14,13
1591731181,17,16
1591734781,14,15
1591738382,16,17
1591741981,18,18
1591745581,13,11
1591749181,13,11
1591752782,14,14
1591756381,8,7
1591759982,12,16
1591763581,9,9
1591767182,19,18
1591770782,10,9
1591774382,19,17
1591777982,14,13
1591785181,18,21
1591788782,16,18
1591792381,12,11
1591795982,9,12
1591803182,17,15
1591806781,18,15
1591810381,14,19
1591813982,18,16
1591817581,12,12
1591821182,20,17
1591824781,10,10
1591828382,14,13
1591831981,8,10
1591835582,10,11
1591839182,14,12
1591842781,12,12
1591846381,9,9
1591849981,12,11
1591853582,14,12
1591857182,10,11
1591860781,12,16
1591864381,17,18
1591867981,20,18
1591871582,14,14
1591875181,12,15
1591878782,20,19
1591882382,24,21
1591885981,11,14
1591889581,10,6
1591893182,14,14
1591896781,12,14
1591900382,16,15
1591903981,17,17
1591907581,12,12
1591911181,21,19
1591914782,14,13
1591918381,14,14
1591921981,12,14
1591925581,15,16
1591929182,13,14
1591932781,14,16
1591936381,11,13
1591939981,10,7
1591943581,11,12
1591947182,17,11
1591950782,13,17
1591954382,15,15
1591957981,11,12
1591961581,20,19
1591965182,13,12
1591968782,15,16
1591972381,14,15
1591975982,21,19
1591979581,13,13
1591983182,18,21
1591986781,11,9
1591990381,12,12
1591993981,18,16
1591997582,14,14
1592001181,12,14
1592004781,12,11
1592008381,13,14
1592011982,14,11
1592015581,9,12
1592019181,15,14
1592022782,12,12
1592026381,9,10
1592029981,18,17
1592033581,19,19
1592037182,12,12
1592044381,17,19
1592047981,17,17
1592051583,14,14
1592055181,13,14
1592058781,15,12
1592062381,11,11
1592065982,11,14
1592069581,13,9
1592073181,12,12
1592076781,16,15
1592080382,14,17
1592083981,10,9
1592087582,9,9
1592091181,15,13
1592094782,9,10
1592098381,12,12
1592101981,13,12
1592105581,12,16
1592109182,18,17
1592112782,15,15
1592116382,20,25
1592119981,18,11
1592123582,13,14
1592127182,14,18
1592130782,14,11
1592134382,16,18
